Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Ne sait pas,No rep.,Moyenne,Question
Political similarity,Left,1430.296,0.3049999,0.415,0.14935705616180148,0.01265242,0.01315024,0.03111559,0.05052451000000001,0.050038450000000005,0.15107216,0.095,0.165,0.15311878,0.07057043,0.07878656,0.11232164999999998,0.01664921,6.37956,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,PC/LFI,641.3963,0.2210957562430591,0.45691782132201264,0.22564364652555682,0.0092123,0.0049014,0.01902891,0.03141822,0.030202050000000005,0.12633286,0.08971173,0.19013576000000001,0.17727495,0.08894478,0.13669884,0.0849999,0.011138300000000002,7.019438,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,PS,449.3176,0.3647046098350031,0.3872597022685067,0.12096951020836931,0.010195099999999999,0.02318414,0.0346558,0.038319,0.08117273999999998,0.17717797,0.09696391,0.14226632,0.14802932,0.08434171999999998,0.03662779,0.10938094,0.01768556,6.077516,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,EELV,339.583,0.3949999,0.365,0.04282899909595003,0.02240139,0.0149999,0.04926036,0.10276153,0.04630962,0.16325747,0.10032248,0.14638739,0.1179001,0.01764381,0.0249999,0.16806925000000017,0.025686800000000003,5.458383,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,EM,672.9198,0.3449999,0.3973711280304132,0.1602501516525446,0.01450013,0.011974910000000002,0.03089194,0.03626976,0.06080469,0.1925055100000001,0.105,0.17958797,0.11309617,0.06617381,0.09407638,0.08556558000000002,0.00955315,6.317089,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,MoDem,161.1257,0.36917599116714467,0.3720341323575321,0.075,0.00816289,0.02635327,0.049221469999999996,0.04985310999999999,0.0416716,0.19391362999999998,0.11327622,0.15253153,0.10622637999999998,0.04834993,0.02645796,0.16950362,0.01447812,5.768902,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,Right,573.0042,0.26378113807891806,0.4318083532372014,0.225,0.02477118,0.00800569,0.02590536,0.03196507,0.06246031,0.1106736,0.08308983999999998,0.16137273000000002,0.18734557,0.08789902,0.13566234,0.06709228,0.013757149999999998,6.781857,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,UDI/PR,89.32552,0.4059181519458269,0.44424572059586104,0.08188823306038409,0.0194983,0.0,0.02021753,0.11293927999999999,0.11732246,0.13594055,0.0849999,0.23568238999999996,0.12356323,0.06323203,0.0186562,0.05100717,0.01694096,5.82792,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,LR,397.5368,0.265,0.4642850674453283,0.18521344439055704,0.02507897,0.0115393,0.03124121,0.02069685,0.05890765,0.11667109,0.08923511000000002,0.16222652,0.21142130999999992,0.085,0.10161515,0.07345813,0.012908710000000002,6.673593,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,Radical right,1008.8,0.149218080888184,0.272268834258525,0.4702432593180016,0.0212046,0.02038482,0.01628222,0.015,0.01266403,0.06407262,0.055,0.07381809,0.14362778,0.14579649,0.32341541,0.095,0.01373394,7.87135,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,Debout la France,86.14185,0.115,0.2690339248576621,0.5449999,0.02881849,0.0,0.00717896,0.0,0.02196571,0.05679503,0.05248593,0.08063984999999999,0.13590816,0.13332521,0.41351154,0.055,0.01437112,8.262102,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,Reconquete,205.4045,0.05425918127402272,0.255,0.635,0.00826104,0.0149999,0.0,0.00892648,0.0032495399999999995,0.0181796,0.02709544,0.04855717,0.1773928,0.25676546,0.3782287500000003,0.04462319,0.013720629999999998,8.659938,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,RN,717.2537,0.1805507590968161,0.2781625246408628,0.415,0.02399692,0.024191109999999995,0.02203835,0.017992,0.015,0.07808934,0.06304426,0.08023294,0.135,0.11551540000000002,0.29758703000000014,0.11365142,0.01366123,7.577591,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Political similarity,No preference,1860.95,0.20104538004782505,0.29449136193879466,0.215,0.01664566,0.01232814,0.01211676,0.027647659999999998,0.0174433,0.11486381,0.07267568,0.10850462999999999,0.1133111,0.07652376,0.13715495,0.28130638,0.00947914,6.945612,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Total-left,1649.278,0.3116903881577272,0.3975210971103719,0.15662392877368156,0.01269238,0.02109333,0.0333684,0.04819741,0.04701749,0.1493214,0.09862843,0.15744174,0.14145117,0.06790147,0.08872246,0.11968916,0.01447539,6.341745,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Very Left,217.9165,0.1949999,0.355,0.2629476886789206,0.00052954,0.00473567,0.0142754,0.04154657999999999,0.0033221699999999997,0.13674421,0.04680701,0.11604614999999999,0.18838133000000004,0.09477263,0.16817506,0.15801773,0.02664694,7.34649,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Left,1431.362,0.3285188512759176,0.405,0.1404367308898797,0.015,0.02358368,0.03627518,0.049209930000000006,0.05366983,0.1512361,0.10651785000000001,0.16259459000000015,0.135,0.06381045,0.07662618,0.11385387,0.01262234,6.198968,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Center,776.1196,0.3649999,0.44218674544490305,0.105,0.00906016,0.01206037,0.03125723,0.054999900000000004,0.04564607,0.2128447400000003,0.14826581,0.16863535,0.12499990000000001,0.056942370000000006,0.04803711,0.08025048,0.00700051,6.079976,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Total-right,1622.94,0.1950735701874376,0.37114015305556586,0.34281273491318226,0.024626200000000004,0.015405520000000002,0.01769991,0.01923857,0.03538726,0.08271612000000002,0.07015743,0.13253238,0.16845065,0.12499990000000001,0.21781359999999983,0.08068857,0.01028389,7.329521,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Right,1193.119,0.20526326376497234,0.41526067391433713,0.28499990000000003,0.01969741,0.01670538,0.01684021,0.01662345,0.04214004999999999,0.09325675,0.07934292,0.15561775,0.18030004,0.11455872999999998,0.17075623,0.08403286,0.01012726,7.155216,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Very Right,429.8207,0.16678845388321226,0.2486690380430724,0.5024176360049667,0.03830779,0.011797280000000002,0.020086330000000003,0.02649777,0.01664253,0.05345673,0.04465997,0.06845077,0.13555845,0.1549999,0.3474184899999998,0.07140531,0.010718679999999998,7.807023,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Both left and Right,200.4265,0.325,0.3207573848767503,0.19069619037402738,0.00950182,0.0,0.025,0.01019705,0.062196619999999994,0.21624162999999996,0.10587043,0.12405206,0.09083494,0.03076171,0.15993449,0.14293125,0.022478,6.611001,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Politics,Neither left nor right,1673.316,0.1749999,0.2581774751451609,0.24692490838550518,0.013991699999999998,0.00881905,0.012597910000000002,0.027218529999999998,0.01395564,0.10114527,0.05039678,0.09809791,0.10968287,0.07887016,0.16805468999999998,0.29787464,0.01929566,7.22599,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Loss of job risk,High risk,556.2398,0.21954469996573422,0.30711700241514545,0.30343369891906335,0.015,0.0097165,0.01913791,0.04249059,0.02948678,0.10403224,0.04969492,0.11095871000000002,0.14646343,0.08254354,0.22057096,0.15935368,0.01055074,7.242485,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Loss of job risk,Low risk,1874.312,0.225,0.4049745186500433,0.1896303817080614,0.01689027,0.01817597,0.020806910000000005,0.02918506,0.03131685,0.10684577,0.09499990000000001,0.16988060999999996,0.14009402,0.07668878,0.1129415,0.16814495,0.01402941,6.73102,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
Loss of job risk,Zero risk,3478.817,0.265,0.3330543112788054,0.235362567217534,0.01501177,0.01309956,0.024187910000000003,0.03509173,0.03785931,0.13878706,0.08135518,0.11981044,0.1318888,0.08796568,0.147397,0.15262263,0.01492478,6.798809,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
