Indicator,Category,BASE,...s'ouvrir davantage,...se fermer davantage,Rien ne doit changer,No rep.,Question
Political similarity,Reconquete,205.4045,0.25670903,0.58414056,0.13973097,0.0194196,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,RN,717.2537,0.32149224,0.54119902,0.10740572999999999,0.02990341,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Political similarity,No preference,1860.95,0.32201929,0.37163198999999986,0.205,0.10134872,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Total-left,1649.278,0.4245471,0.3023272,0.22621862,0.04690716,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Very Left,217.9165,0.44171107,0.3499847,0.1393358,0.06896894,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Left,1431.362,0.42193379000000003,0.29507155,0.23944593000000003,0.04354836,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Center,776.1196,0.48684262,0.22440845,0.27639683,0.012351609999999999,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Total-right,1622.94,0.3590407,0.435,0.17202323999999997,0.03393606,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Right,1193.119,0.38650847,0.38263032,0.19475945,0.0361009,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Very Right,429.8207,0.28499990000000003,0.5781626700000001,0.1089106,0.02792683,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Both left and Right,200.4265,0.41829494,0.36057572,0.21194701999999999,0.00918267,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Politics,Neither left nor right,1673.316,0.31739806000000004,0.385,0.19317116000000004,0.10443078,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Loss of job risk,High risk,556.2398,0.37268429,0.475,0.12437206,0.02794365,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Loss of job risk,Low risk,1874.312,0.35999535000000005,0.38396421,0.20104044,0.055,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
Loss of job risk,Zero risk,3478.817,0.40289098,0.31758152,0.22500614,0.0545231,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Arthaud,24.07418,0.43172561,0.20652475,0.29382301,0.06792659,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Poutou,32.85668,0.26264933,0.41907095,0.29755563,0.02072418,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Roussel,98.04205,0.31935981,0.36961304,0.21917341,0.09185361,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Melenchon,942.3053,0.3945769,0.34336504,0.20659239,0.05546538,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Hidalgo,75.31895,0.45095106,0.20419947000000002,0.31807799,0.026771779999999995,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Jadot,198.8808,0.40499989999999997,0.23661681,0.29813217000000003,0.06025112,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Macron,1195.294,0.52516611,0.18885078,0.25447087,0.03151328,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Pecresse,205.1207,0.48659804,0.22424158,0.26193236,0.02722755,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Dupont-Aignan,88.56025,0.26151473,0.58681146,0.12684043,0.024833300000000003,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Zemmour,303.4525,0.255,0.56779434,0.15321433,0.02399133,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Le Pen,993.0248,0.29870573,0.53165268,0.13986257,0.029778560000000003,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Lassalle,134.5409,0.3099378,0.43822904,0.21878975,0.03304284,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Blank/Null/NA,96.61228,0.36501323,0.33189403999999995,0.2224624,0.08063012000000001,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Blank,63.86856,0.42021348,0.34948118,0.17077354,0.05953158,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
1st round vote,Null,19.09123,0.185,0.29996422,0.39383856,0.12119722,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
2nd round vote,Macron,2287.563,0.50108041,0.20671536000000001,0.25779032,0.03441559,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
2nd round vote,Le Pen,1619.66,0.2865297,0.54275607,0.13888038,0.03183308,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
2nd round vote,Blank/Null/NA,370.4173,0.32104683,0.35171069999999993,0.24224247,0.085,"new26v2_i1. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan économique"
