Indicator,Category,BASE,"une société où, avant tout, l'on réduit les écarts de rémunération entre les plus modestes et les plus riches","une société où, avant tout, l'on rémunère davantage ceux qui travaillent plus que les autres",No rep.,Question
Political similarity,Debout la France,86.14185,0.35185406,0.59890228,0.0492435,q7v13b. Pour vous une société juste c'est :
Political similarity,Reconquete,205.4045,0.15482889,0.77854039,0.06663087,q7v13b. Pour vous une société juste c'est :
Political similarity,RN,717.2537,0.3885697600000001,0.5549999,0.05643034,q7v13b. Pour vous une société juste c'est :
Political similarity,No preference,1860.95,0.44993068,0.47725447,0.07281566,q7v13b. Pour vous une société juste c'est :
Politics,Total-left,1649.278,0.71410156,0.23510051,0.0507982,q7v13b. Pour vous une société juste c'est :
Politics,Very Left,217.9165,0.7915168300000001,0.145,0.06348317,q7v13b. Pour vous une société juste c'est :
Politics,Left,1431.362,0.70221998,0.24891292,0.04886697,q7v13b. Pour vous une société juste c'est :
Politics,Center,776.1196,0.40369796,0.52949082,0.06681091,q7v13b. Pour vous une société juste c'est :
Politics,Total-right,1622.94,0.24676285,0.67824319,0.07499261,q7v13b. Pour vous une société juste c'est :
Politics,Right,1193.119,0.22697341999999998,0.69802668,0.07499990000000001,q7v13b. Pour vous une société juste c'est :
Politics,Very Right,429.8207,0.30169557,0.6233044300000001,0.075,q7v13b. Pour vous une société juste c'est :
Politics,Both left and Right,200.4265,0.3982296100000001,0.5449999,0.05677049000000001,q7v13b. Pour vous une société juste c'est :
Politics,Neither left nor right,1673.316,0.44965314,0.46667922,0.08366836,q7v13b. Pour vous une société juste c'est :
Loss of job risk,High risk,556.2398,0.55122629,0.37098748000000004,0.07778573,q7v13b. Pour vous une société juste c'est :
Loss of job risk,Low risk,1874.312,0.4666540100000001,0.46499989999999997,0.06834609,q7v13b. Pour vous une société juste c'est :
Loss of job risk,Zero risk,3478.817,0.44286204,0.49028104,0.06685776,q7v13b. Pour vous une société juste c'est :
1st round vote,Arthaud,24.07418,0.44972165,0.43274454,0.11753380999999999,q7v13b. Pour vous une société juste c'est :
1st round vote,Poutou,32.85668,0.7449998999999999,0.20770901999999997,0.04729108,q7v13b. Pour vous une société juste c'est :
1st round vote,Roussel,98.04205,0.66630737,0.28459952,0.049093,q7v13b. Pour vous une société juste c'est :
1st round vote,Melenchon,942.3053,0.70952838,0.22547172000000001,0.0649999,q7v13b. Pour vous une société juste c'est :
1st round vote,Hidalgo,75.31895,0.6574801699999999,0.2649999,0.07751993,q7v13b. Pour vous une société juste c'est :
1st round vote,Jadot,198.8808,0.661008,0.29194583,0.04704616,q7v13b. Pour vous une société juste c'est :
1st round vote,Macron,1195.294,0.35471523999999993,0.57813927,0.06714648,q7v13b. Pour vous une société juste c'est :
1st round vote,Pecresse,205.1207,0.21719723999999999,0.7380439900000001,0.04475863000000001,q7v13b. Pour vous une société juste c'est :
1st round vote,Dupont-Aignan,88.56025,0.4786608,0.4463393,0.07499990000000001,q7v13b. Pour vous une société juste c'est :
1st round vote,Zemmour,303.4525,0.21176477000000005,0.725,0.06323523,q7v13b. Pour vous une société juste c'est :
1st round vote,Le Pen,993.0248,0.39348675,0.55593687,0.05057616,q7v13b. Pour vous une société juste c'est :
1st round vote,Lassalle,134.5409,0.45082692,0.49712942,0.05204319,q7v13b. Pour vous une société juste c'est :
1st round vote,Blank/Null/NA,96.61228,0.45424764000000006,0.42553017,0.12022188,q7v13b. Pour vous une société juste c'est :
1st round vote,Blank,63.86856,0.44244461,0.45514773,0.10240737,q7v13b. Pour vous une société juste c'est :
1st round vote,Null,19.09123,0.49836621,0.3666626,0.1349715,q7v13b. Pour vous une société juste c'est :
2nd round vote,Macron,2287.563,0.44804755,0.49158296,0.0603711,q7v13b. Pour vous une société juste c'est :
2nd round vote,Le Pen,1619.66,0.38365083,0.55525802,0.061090580000000005,q7v13b. Pour vous une société juste c'est :
2nd round vote,Blank/Null/NA,370.4173,0.5607041,0.36917849,0.07011738,q7v13b. Pour vous une société juste c'est :
