Indicator,Category,BASE,Voter aux élections,Manifester dans la rue,Boycotter des entreprises ou des produits,Faire grève,"Discuter sur internet, sur un blog ou un forum",Militer dans un parti politique,Rien de tout cela,No rep.,Question
Loss of job risk,Low risk,1874.312,0.33498334,0.1377117,0.15019356,0.14874108,0.03681413,0.021042959999999996,0.15972709,0.01078627,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
Loss of job risk,Zero risk,3478.817,0.43664775,0.14252523,0.10894816,0.10762023,0.0149999,0.01760216,0.16156093,0.01009564,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Arthaud,24.07418,0.255,0.12321466000000002,0.08398998,0.18649380000000004,0.07101476,0.14957049,0.13071631,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Poutou,32.85668,0.28098338,0.12249737,0.25633223,0.18112792,0.013325230000000002,0.02101461,0.11732039999999999,0.00739894,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Roussel,98.04205,0.3426135,0.16311378999999998,0.15785767,0.13702294,0.025,0.06969998,0.10469212000000001,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Melenchon,942.3053,0.35047452,0.21041546,0.13895507,0.15729637,0.03091283,0.03448587,0.07220215,0.00525744,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Hidalgo,75.31895,0.50006313,0.095,0.10193488,0.14367686,0.00889331,0.03284586,0.0762378,0.04134816,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Jadot,198.8808,0.415,0.12013200999999998,0.19951986,0.12200811,0.010823600000000001,0.01825744,0.10425406,0.010004919999999999,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Macron,1195.294,0.63168794,0.06825882,0.09568073,0.05917681,0.0221196,0.02380963,0.09396190000000001,0.00530494,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Pecresse,205.1207,0.64561646,0.07843616,0.09169265,0.07065011,0.01072206,0.02295371,0.07713127,0.00279724,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Dupont-Aignan,88.56025,0.36841337,0.22200525,0.18926674,0.11183479,0.03769435,0.01124204,0.05954342,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Zemmour,303.4525,0.40203014000000004,0.13864035,0.135,0.11247895,0.05305845,0.04048347,0.11330864,0.005,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Le Pen,993.0248,0.41369029999999996,0.18249271999999997,0.095,0.12203361,0.02893738,0.01689828,0.13842877,0.0025189400000000003,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Lassalle,134.5409,0.39150300999999993,0.10897132,0.09662564,0.24499990000000002,0.02034038,0,0.12752479,0.010034959999999999,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Blank/Null/NA,96.61228,0.26305993,0.12110821,0.10378421999999998,0.12266287,0.025,0.03709793,0.31169596000000005,0.015590880000000001,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Blank,63.86856,0.24157441,0.145,0.10877541000000002,0.12656368,0.0197639,0.03288701,0.3224643099999999,0.00297128,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
1st round vote,Null,19.09123,0.34538173,0.0758838,0.1121208,0.10331833,0.02840767,0.06203257,0.27285539,0,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
2nd round vote,Macron,2287.563,0.55932194,0.09276329999999999,0.11751042,0.08332037,0.02372084,0.028544929999999996,0.08981819999999999,0.005,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
2nd round vote,Le Pen,1619.66,0.38684477,0.16976297000000004,0.11127619,0.13902906,0.0326792,0.01976937,0.13710118,0.0035364899999999998,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
2nd round vote,Blank/Null/NA,370.4173,0.39242847000000003,0.16856161999999997,0.1425015,0.11764715,0.02666291,0.02261801,0.11458034,0.015,"q40n1. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En premier ?"
