Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,Moyenne,Question
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.26051401107212435,0.5135389607294631,0.16928546617697304,0.02916596,0.01473691,0.02528731,0.026890030000000002,0.05120634,0.11322741000000001,0.17082171,0.18902317000000002,0.15369393,0.06811251,0.10117292,0.05666171,6.486888,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Socio-Professional Category,Prof Intermed,896.9079,0.17896731648812547,0.53685434145468,0.2302461601687308,0.01034619,0.00318515,0.01133875,0.02944951,0.02666463,0.09798306000000001,0.13709735,0.21857795999999996,0.18117903,0.06683457,0.16341154,0.053931269999999996,7.133182,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Socio-Professional Category,Total-CSP-,1674.09,0.16457209588492855,0.475,0.2613090694048707,0.012125330000000002,0.00204095,0.015,0.01990371,0.02229071,0.093875,0.10801139999999998,0.19848847000000006,0.1672876,0.08886643,0.17244258,0.09966782,7.279114,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Socio-Professional Category,Salaried,956.6466,0.1507097814386211,0.48131535720714413,0.2699935378435464,0.01733137,0.0026789200000000004,0.010994059999999998,0.012187329999999998,0.02262099,0.085,0.1096176,0.19726099999999996,0.17433428,0.09661527999999998,0.17337833999999996,0.09798083,7.331825,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Socio-Professional Category,Blue collar,717.4432,0.18305616388865348,0.4652977406434405,0.24972903778306074,0.0049999,0.00119027,0.01879297,0.030192820000000002,0.021850320000000003,0.10584619,0.10586966,0.20171988999999993,0.15789152,0.07853409,0.17119502,0.10191735,7.208521,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,Far left,187.3446,0.1706571739991438,0.5300849343936254,0.28143447956332873,0.0,0.00316455,0.0,0.046385569999999994,0.0149999,0.10561089,0.07497974,0.23896519000000005,0.21663587,0.10069129,0.18074319,0.01782381,7.430705,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,Radical left,828.7407,0.09751831905926668,0.49849391975077373,0.37448806363679255,0.00107977,0.0008877299999999999,0.00538515,0.01532452,0.020679510000000005,0.05416165,0.0981111,0.19605638,0.2043264,0.13179756,0.24269026000000002,0.02950041,7.851531,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,Left,1430.296,0.08717775900932394,0.5282058399100605,0.3449999,0.00131244,9.986000000000001e-05,0.00673346,0.00768675,0.0211178,0.05022746,0.11044805,0.20525276000000003,0.2125051,0.1349999,0.21389134000000024,0.03572508,7.804363,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,PC/LFI,641.3963,0.07615524130712946,0.4892666203406537,0.40166789237792616,0.00139515,0.00022269,0.00695809,0.00625194,0.0221935,0.03913387,0.105,0.18366788,0.20073097,0.14088337,0.26065153,0.03291101,7.976367,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,PS,449.3176,0.10577017236805324,0.5249999,0.3287438551260845,0.00218627,0.0,0.00914629,0.01203056,0.02537855,0.057028499999999996,0.11243058,0.20460209,0.21248923000000003,0.11955366999999999,0.20919,0.0359646,7.692283,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,EELV,339.583,0.07499990000000001,0.605,0.2758693161907398,0.0,0.0,0.00311664,0.00464929,0.01344841,0.06218188000000001,0.11836497,0.24637847000000013,0.235,0.145,0.13113713,0.04072321,7.625874,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,EM,672.9198,0.2249999,0.5998431016593656,0.115,0.01299759,0.006869639999999999,0.02058433,0.013711329999999999,0.04014293000000001,0.13269248,0.1846541,0.24992131,0.16526739,0.04717795000000001,0.06766328,0.0583172,6.57754,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,MoDem,161.1257,0.275,0.5765396829928435,0.0949999,0.0,0.01737515,0.027283720000000004,0.00155522,0.03558203,0.19195802,0.21384985999999986,0.19768999999999998,0.165,0.04372423,0.05243002,0.05355175,6.427419,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,Right,573.0042,0.3436219141151147,0.4765040116634398,0.11623553544633704,0.03840602,0.01245814,0.0349999,0.043791279999999995,0.07616819,0.13748587,0.14092141,0.1879438500000002,0.14795111,0.04039871,0.07583679,0.06363873,6.056499,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,UDI/PR,89.32552,0.34412808344132784,0.5619570980387241,0.065,0.04881913,0.0119333,0.04621771,0.04388408,0.07350829,0.11976555,0.12781868,0.22402097,0.21011733,0.02793768,0.03522576,0.03075164,5.930962,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,LR,397.5368,0.365,0.4549999,0.10794001964094896,0.03985852,0.01020954,0.03421932,0.04517066,0.08513697,0.1482385,0.16327665999999996,0.18174177,0.11465389000000001,0.04233075000000001,0.06560927,0.06955459,5.913352,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,Radical right,1008.8,0.22584030531324345,0.4549999,0.2498902656621729,0.02888774,0.01832699,0.03389765,0.0278939,0.02624533,0.09058876,0.12462431,0.16803251,0.16309664999999998,0.08462148,0.16526883,0.06851648,6.839362,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,Debout la France,86.14185,0.255,0.4655698710905326,0.2049999,0.02090489,0.02337946,0.02904925,0.03732937,0.03753627,0.10623863,0.05134097,0.17707758,0.23729946999999993,0.04440417,0.1649999,0.07044004,6.853481,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,Reconquete,205.4045,0.4019624691766733,0.37845485371547355,0.12793453892198076,0.036674,0.04019154,0.07444564,0.054999900000000004,0.05640412,0.13876872,0.11328373999999998,0.15946499000000003,0.10618443,0.046381649999999996,0.08155284,0.09164842999999999,5.669638,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,RN,717.2537,0.17196857959742837,0.47671068131122923,0.2896601300209396,0.027616670000000003,0.0114587,0.02286795,0.01886116,0.01625252,0.07491158,0.13667323,0.16953666000000003,0.17050103999999996,0.10040254999999998,0.18925758000000004,0.06166103,7.161958,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Political similarity,No preference,1860.95,0.18446288186141488,0.465,0.21094059485746525,0.0083833,0.00274206,0.01294919,0.02612148,0.02035847,0.11390833,0.10563556,0.1968342199999999,0.1571269,0.08096402,0.12997657,0.14499990000000001,7.082016,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Total-left,1649.278,0.0849999,0.5195321831734856,0.3657643526440055,0.00232751,8.660000000000002e-05,0.00375919,0.01046405,0.02011766,0.05076251999999999,0.09356094,0.19658851,0.22938291999999996,0.13558636,0.23017799,0.02718597,7.882169,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Very Left,217.9165,0.060858310407885585,0.3503096828372335,0.5659470485254673,0.0,0.0,0.0,0.041865040000000006,0.01020745,0.00878581,0.01882567,0.1392219,0.19226208,0.205,0.3609466800000001,0.02288537,8.484982,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Left,1431.362,0.09157620504107276,0.5449999,0.33528743951565015,0.00268186,9.979e-05,0.0043315,0.00568343,0.02162643,0.05715321,0.10493893,0.20532220000000004,0.2349999,0.12507556,0.21024649000000006,0.0278407,7.789926,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Center,776.1196,0.215,0.6249998999999999,0.12254762023791178,0.00543678,0.00824837,0.01733337,0.0149999,0.03563921,0.12651984,0.22248929,0.24897802000000002,0.15470889,0.04228544,0.08026222,0.04309867,6.64698,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Total-right,1622.94,0.315,0.4649999,0.15921937964434915,0.02611589,0.01610188,0.04128749999999999,0.045903799999999995,0.04761554,0.12725923,0.14197364,0.1849999,0.1445232800000002,0.06814824,0.0910712,0.0649999,6.298919,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Right,1193.119,0.3301909532913314,0.48224829208151077,0.11973415895648298,0.027181469999999996,0.01877434,0.045279410000000006,0.051098939999999995,0.05423773,0.13361886,0.14482529,0.19752271000000002,0.13990055,0.0569242,0.06280995,0.06782551,6.07066,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Very Right,429.8207,0.23237024182409083,0.4409119895807717,0.2688246517675859,0.02315801,0.00868353,0.0302066,0.03148285,0.02923331,0.10960596,0.13405809,0.15173562,0.15511838,0.09930448,0.16952022,0.05789256,6.925854,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Both left and Right,200.4265,0.17043459821929735,0.579304133934385,0.15426632705754978,0.01716711,0.0,0.0049999,0.006669500000000001,0.00814348,0.13312795,0.16984376,0.21358886000000016,0.19697625,0.0684878,0.0849999,0.09599549,6.95274,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Politics,Neither left nor right,1673.316,0.17289687064487522,0.435,0.23088824824480253,0.01355826,0.00301804,0.010001090000000002,0.01744449,0.02082518,0.10804982,0.09585679,0.19769344,0.14034797,0.08098727,0.1499008,0.16231745999999997,7.17285,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Loss of job risk,High risk,556.2398,0.13496222312750725,0.445,0.3648156784178335,0.01753609,0.00131272,0.01484569,0.01346284,0.02836253,0.05944237,0.08659603,0.20573209000000028,0.14877461,0.10979378,0.2549999,0.05914135,7.62087,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Loss of job risk,Low risk,1874.312,0.1849999,0.5253789657218222,0.19952868039045793,0.01426289,0.00393035,0.01609671,0.02370659,0.03460993,0.09624684,0.14905064,0.20121549,0.17511294999999996,0.08508338,0.1144453,0.08623916,6.939272,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
Loss of job risk,Zero risk,3478.817,0.19569115018122538,0.49272123253393324,0.2295323381482843,0.01135379,0.00851732,0.01769539,0.023639820000000002,0.02685891,0.10762593,0.12257768,0.19731299,0.17283148,0.08641791,0.14311423,0.08205640000000002,7.04683,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Arthaud,24.07418,0.0849999,0.635246974144083,0.155,0.0,0.0,0.0,0.01450968,0.0,0.07309009,0.15757833,0.3022922699999998,0.175,0.035,0.12028077,0.12224886,7.277158,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Poutou,32.85668,0.048879223342102734,0.5774089165429983,0.3113026026975337,0.0,0.0,0.0,0.0,0.0,0.04887922,0.15150052,0.15617753,0.26973081,0.12447088,0.18683172,0.06240941,7.88515,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Roussel,98.04205,0.11171084243954507,0.5020845647352334,0.31993323273024177,0.0,0.0,0.01114217,0.0,0.01070972,0.08985899,0.07994107,0.19922829,0.22291517,0.13438652,0.18554680999999998,0.06627098,7.750571,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
