Indicator,Category,BASE,Voter aux élections,Manifester dans la rue,Faire grève,Boycotter des entreprises ou des produits,Militer dans un parti politique,"Discuter sur internet, sur un blog ou un forum",Rien de tout cela,No rep.,Question
Political similarity,No preference,1860.95,0.34716429780488456,0.2991554851016954,0.29279518525484294,0.2739130014240039,0.022397114377065475,0.041588618716247076,0,0.30510067438673794,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Total-left,1649.278,0.5314620094368566,0.3934818750992859,0.3513331287993898,0.28089394268279816,0.0924034638187134,0.053525706400012606,0,0.11229386434548935,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Very Left,217.9165,0.4325904646963401,0.4507788533681479,0.3690586990888712,0.2654759506508227,0.14663428423272215,0.11443965922727281,0,0.07321336383431268,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Left,1431.362,0.5465143688319237,0.3847584328772176,0.3486343776067829,0.2832412066269749,0.08414705713858549,0.04425190133593039,0,0.11824360294600528,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Center,776.1196,0.668560876442239,0.31731604252746615,0.26475764817690467,0.3222218585898359,0.08329888847028216,0.06440536999709838,0,0.07193174866347919,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Total-right,1622.94,0.6126915351152845,0.286560193229571,0.2711936362404032,0.2964066447311669,0.08861769381492847,0.06276547500215658,0,0.12094914168114657,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Right,1193.119,0.6444720937308015,0.26083559142047025,0.24637182041355474,0.3013247630789553,0.09126994038314704,0.06452761208228182,0,0.11894597269844835,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Very Right,429.8207,0.524473809660633,0.3579681015828228,0.3400950675479334,0.2827546462978633,0.08125557936134765,0.05787408563617341,0,0.1265096818277947,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Both left and Right,200.4265,0.5711525172569496,0.35492656909141257,0.27568584992503486,0.31795141859983583,0.010489630862186386,0.068778529785233,0,0.17030791836408857,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Politics,Neither left nor right,1673.316,0.3259940740422012,0.2843483836884366,0.2839252119743073,0.2611746376655694,0.031311413982774323,0.06464003212782284,0,0.30889646665662673,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Loss of job risk,High risk,556.2398,0.3717310411804406,0.37723963657401005,0.4113581947929652,0.28430399982165966,0.07893412157849906,0.11883434087240792,0,0.1252722476888565,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Loss of job risk,Low risk,1874.312,0.46696008988898324,0.32177551016052824,0.3268403552877003,0.2930939459385631,0.06416999944512974,0.08865871850577706,0,0.17051339371460036,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
Loss of job risk,Zero risk,3478.817,0.5645735317494424,0.31111438169929606,0.26208323116737675,0.28229952883408355,0.07176310222699268,0.03742283655622011,0,0.17165657175988272,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Arthaud,24.07418,0.39518637810301327,0.27140392736118113,0.3509415066266017,0.30643830859451915,0.21479510413231107,0.17379462145751176,0,0.13071631100207776,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Poutou,32.85668,0.3419237731870658,0.32798657685438704,0.4070243859087406,0.4516357099986974,0.08798560901466614,0.10061865654107476,0,0.12471935691615832,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Roussel,98.04205,0.5727908586162773,0.3370902587206204,0.36682372512610656,0.28220890934043097,0.1456739225668986,0.06140363242098671,0,0.10469211935082956,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Melenchon,942.3053,0.5239995997051062,0.4435268484640806,0.3594776554902111,0.3050584561075906,0.07547195160634244,0.0579837978200908,0,0.07745958767291238,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Hidalgo,75.31895,0.6863834400240577,0.29234170152398564,0.28161664494791816,0.21435747577468883,0.14943264610035056,0.03385653942334565,0,0.11758595944314146,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Jadot,198.8808,0.6002389370919667,0.3077365939799116,0.2897279174259154,0.40134844590327473,0.05946682636031231,0.05233908954509435,0,0.1142589430452814,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Macron,1195.294,0.7570365115193417,0.21887493788139148,0.18425458506442766,0.28970989564073774,0.09903262293628178,0.052448058803942786,0,0.099266874927842,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Pecresse,205.1207,0.7660304396387103,0.2250960044500628,0.20075906527230064,0.32930420966777124,0.1394604250083,0.014538537553742749,0,0.07992854938580066,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Dupont-Aignan,88.56025,0.5128988457010905,0.4305430483766701,0.334626991229135,0.3271645010035541,0.037933034290214857,0.10727444875099156,0,0.05954341818140758,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Zemmour,303.4525,0.5527069310682892,0.3500650019360526,0.2884010182812796,0.2976196933622231,0.0956919451973538,0.07923394930013758,0,0.11805864179731589,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Le Pen,993.0248,0.5487853878372423,0.3598181032336755,0.3460421129462225,0.24624077867944485,0.06416718897654923,0.05468307538744249,0,0.14094773866674828,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Lassalle,134.5409,0.5037059362617613,0.2899950869958503,0.4041409712585541,0.37017338222057383,0.020535175548847973,0.02274206579560565,0,0.13755980523394745,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Blank/Null/NA,96.61228,0.3621771476669426,0.21450885953628254,0.2688801050963708,0.2335830393403406,0.06428353621299487,0.05050910712385631,0,0.3281320966651444,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Blank,63.86856,0.3412400404831422,0.2629146484592732,0.29313812617663526,0.20923847351498137,0.05077989859173277,0.0341457048663693,0,0.32625473315822373,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
1st round vote,Null,19.09123,0.3907080895259237,0.1320069476927364,0.24802514033930764,0.2925815675574596,0.0922506302632151,0.07060917499815361,0,0.27285538962130784,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
2nd round vote,Macron,2287.563,0.7065103780748333,0.25551864582527345,0.22733651488505452,0.3130612359091312,0.10437915808220363,0.05219746953417239,0,0.09400908302853299,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
2nd round vote,Le Pen,1619.66,0.5250476025832582,0.3684274477359446,0.33363458997567386,0.2710556536557055,0.0626756850203129,0.06365971870639517,0,0.14063766469505945,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
2nd round vote,Blank/Null/NA,370.4173,0.5372959092353408,0.40097209282611795,0.3101888059763947,0.2953072116232152,0.06087501852640252,0.055889506240664244,0,0.12953047819310815,"q40n. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? Au Total"
