Indicator,Category,BASE,ST D'accord,ST Pas d'accord,Tout à fait d'accord,Plutôt d'accord,Ni d'accord ni pas d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Socio-Professional Category,Prof Intermed,896.9079,0.32956717183559203,0.4473293188743236,0.06743477,0.26167224,0.20857794,0.275,0.17279065,0.0145244,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Socio-Professional Category,Total-CSP-,1674.09,0.25732523341039015,0.4797202062015782,0.055,0.20339677000000003,0.2436811,0.2907990499999999,0.18784958,0.0192735,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Socio-Professional Category,Salaried,956.6466,0.2456770347587082,0.4849999,0.04116795,0.205,0.24623722,0.29368942000000003,0.19155726,0.022348150000000004,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Socio-Professional Category,Blue collar,717.4432,0.2728572798515618,0.47169699287692735,0.07094344,0.20191381999999997,0.24027226,0.28879122,0.18290563,0.015173729999999998,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,Far left,187.3446,0.3421350281780206,0.4139735012378259,0.13901548,0.20311949,0.22977033,0.29289624999999986,0.12019845,0.015,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,Radical left,828.7407,0.3399749764914406,0.4042798911649929,0.09362016,0.24635462,0.24031413,0.27056955,0.13371034,0.01543171,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,Left,1430.296,0.36751469625867655,0.3794521553580517,0.06700707,0.30050759,0.23940667,0.26774654,0.11170583,0.013627230000000002,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,PC/LFI,641.3963,0.3393437099652742,0.4014483713111535,0.08036069,0.25898294,0.24339383000000003,0.26379151,0.13765701,0.0158144,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,PS,449.3176,0.3890951522931663,0.3178419897195213,0.05581386,0.33248033000000016,0.27342997,0.25364286,0.065,0.01963298,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,EELV,339.583,0.395,0.4149999,0.05659518,0.3361211499999998,0.18685700000000002,0.29387714,0.12499990000000001,0.00154963,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,EM,672.9198,0.6449999,0.155,0.11278834,0.53151043,0.20240748,0.115,0.035,0.00329375,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,MoDem,161.1257,0.46077689654722986,0.225,0.05254253,0.40806995,0.31444611,0.145,0.0760945,0.0038469099999999994,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,Right,573.0042,0.32973405779573695,0.38002688287450603,0.03767239,0.29206173,0.28602914,0.28793,0.09209688,0.00421006,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,UDI/PR,89.32552,0.4015657563482418,0.3139179038644276,0.023970159999999997,0.37711199,0.28500000000000003,0.2894745,0.02444335,0,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,LR,397.5368,0.35122937046331304,0.3408899503140338,0.03932582,0.31190345,0.30181281,0.2685457,0.07234402,0.00606832,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,Radical right,1008.8,0.15073245440126884,0.6579638183980968,0.04047592,0.11025644,0.18095123,0.35643943,0.30152429,0.0103531,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,Debout la France,86.14185,0.1549999,0.6291928952071496,0.04425065,0.11179912,0.215,0.37554192999999997,0.2534083,0,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,Reconquete,205.4045,0.07992463650991093,0.7789215912991195,0.02935643,0.05056822,0.14115382,0.4734314,0.30549039,0,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,RN,717.2537,0.17037137626477214,0.6267794784467478,0.04320693,0.12716447,0.18828819,0.32061236000000004,0.30616712,0.01456139,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Political similarity,No preference,1860.95,0.1660704478895188,0.5633434536124022,0.02535362,0.14071684,0.25113571,0.28897536,0.27436831,0.01945124,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Total-left,1649.278,0.33101429837783564,0.410296626766379,0.06098632,0.27002798,0.24352911,0.27329559,0.1370008,0.0151604,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Very Left,217.9165,0.325,0.4929934172033783,0.09832165,0.22537990000000002,0.17833198,0.24212255999999996,0.25087063,0.00497372,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Left,1431.362,0.33212751211782904,0.39770610090249703,0.054999900000000004,0.27682522,0.25345496,0.27834397000000005,0.1196647,0.01671125,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Center,776.1196,0.4707016805141888,0.27896563880103015,0.07539951,0.39499989999999996,0.24752833000000002,0.19155849,0.08740712,0.00310665,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Total-right,1622.94,0.29819395664657966,0.4849999,0.05105644,0.24713736,0.20718492,0.30084693000000007,0.1849999,0.00877445,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Right,1193.119,0.34381859646858365,0.43033989065633854,0.05188348,0.291935,0.21563105000000002,0.29554043,0.13479955,0.01020951,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Very Right,429.8207,0.17154636805533097,0.6399226468152884,0.0487607,0.12278564,0.18373955,0.31159248,0.32812163,0.005,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Both left and Right,200.4265,0.39639643460320867,0.3637016063245129,0.06950488,0.32789345,0.23990231,0.19769945999999997,0.1649999,0,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Politics,Neither left nor right,1673.316,0.1747034630637608,0.5602521579904811,0.0349999,0.13961858,0.24513684,0.28167970000000014,0.27865627,0.01990871,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Loss of job risk,High risk,556.2398,0.295,0.5149999,0.07535845,0.21773702999999997,0.1753532,0.21427394999999996,0.3042267,0.013050500000000001,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Loss of job risk,Low risk,1874.312,0.29685970105297305,0.44693028695329273,0.06645542,0.23040428,0.24260438,0.27060025,0.17632982,0.01360603,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
Loss of job risk,Zero risk,3478.817,0.300536073038622,0.44616546371941956,0.0428082,0.25772787,0.23930235,0.2761462,0.17001957999999998,0.0139974,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Arthaud,24.07418,0.3267509422958539,0.45371555749770087,0.16113935999999998,0.16561157999999998,0.19370911,0.29465718,0.1590585,0.02582415,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Poutou,32.85668,0.2549999,0.5150949517723641,0.0619611,0.19495353999999998,0.22059148999999997,0.27887038,0.2362246,0.00739894,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Roussel,98.04205,0.3410413184954823,0.3749999,0.04597521,0.29499990000000004,0.26738049,0.26366646,0.11157172,0.01640622,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Melenchon,942.3053,0.2837240754137751,0.44098605834011545,0.054999900000000004,0.22821033000000002,0.26689301,0.29742709000000006,0.14407316,0.00839651,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Hidalgo,75.31895,0.48667898317754027,0.2549999,0.045,0.44167875999999995,0.24005367,0.19392410999999998,0.06226327,0.01708019,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Jadot,198.8808,0.3851400436844582,0.2996068499322207,0.05007742,0.33506256,0.31295826,0.22360711,0.07599974,0.00229488,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Macron,1195.294,0.5586008965158362,0.1614963347929463,0.08644375,0.47215731,0.27026204,0.13494437,0.026552020000000003,0.0096416,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Pecresse,205.1207,0.37637225301980737,0.345,0.02856333,0.34880611999999994,0.2749999,0.24568949,0.09694126000000002,0.0049999,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Dupont-Aignan,88.56025,0.1643849243876344,0.565,0.02856608,0.1349999,0.26438487,0.29866127000000015,0.26593726,0.00745062,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Zemmour,303.4525,0.15683090434252478,0.6883380430215603,0.04930043,0.10753047,0.14971351,0.41233640000000016,0.27611929,0.0049999,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Le Pen,993.0248,0.1649999,0.6066466819358389,0.03249608,0.13423351,0.21615019000000002,0.31840172,0.28824497,0.010473400000000002,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Lassalle,134.5409,0.1298295165262013,0.5520962770428918,0.0108893,0.11894019,0.31137379,0.37424047000000005,0.17785573,0.00669993,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Blank/Null/NA,96.61228,0.2149999,0.435,0.04330812,0.17418324,0.3174199,0.24668583,0.18607334000000003,0.03232926,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Blank,63.86856,0.20216394420040157,0.4475691952347133,0.06110839,0.14105558,0.33275746,0.25615718,0.19141218,0.01750901,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
1st round vote,Null,19.09123,0.1696704193496176,0.4726248649248896,0,0.16967042,0.34115067,0.24462986,0.22799505,0.01655433,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
2nd round vote,Macron,2287.563,0.4797743275267172,0.23309062963511826,0.07272495,0.40859217000000014,0.28054956,0.1849999,0.046546,0.006587420000000001,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
2nd round vote,Le Pen,1619.66,0.15217916105849374,0.627931788153069,0.03643557,0.1149999,0.20835762,0.33844761,0.29022795,0.011531349999999998,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
2nd round vote,Blank/Null/NA,370.4173,0.22406226707013951,0.4862734542906068,0.02409654,0.19996571,0.26963646,0.30680667,0.17946674999999998,0.02002796,"pop1_i7. Pour chacune des phrases suivantes, dans quelle mesure êtes-vous d'accord ou non avec les propositions suivantes ?
- Malgré ce que disent certains, la plupart des hommes politiques essaient de tenir leurs promesses de campagne électorale"
