Indicator,Category,BASE,Plutôt de gauche,Plutôt de droite,Ni de gauche ni de droite,Vous ne savez pas,No rep.,Question
Socio-Professional Category,Prof Intermed,640.0216,0.30008987,0.23646952,0.24386457999999997,0.10397212,0.11560391000000002,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Socio-Professional Category,Total-CSP-,1161.402,0.195,0.22191171,0.27131786,0.14765671,0.16411372,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Socio-Professional Category,Salaried,685.017,0.2317795,0.23508160999999997,0.22172618,0.12768006,0.18373267,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Socio-Professional Category,Blue collar,476.3842,0.14114996,0.20297438,0.34358969,0.17638261,0.13590304,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,Far left,125.7342,0.42039071,0.13944861,0.22479182000000003,0,0.21536941000000004,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,Radical left,565.865,0.535,0.11825324000000001,0.12797058,0.04436947,0.17440671000000002,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,Left,998.7495,0.52320397,0.09747178000000001,0.16797245,0.05307059,0.15828083,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,PC/LFI,440.1308,0.5674195,0.11219828,0.10031116,0.0570447,0.16302699,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,PS,313.8164,0.58636642,0.06446696,0.14127452,0.04711803,0.1607742,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,EELV,244.8018,0.36158698,0.11330468,0.325,0.05355635,0.14655199,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,EM,517.2233,0.21832659,0.3528476,0.32354092,0.02771934,0.07756439,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,MoDem,120.5942,0.24035708,0.29008078,0.32145244,0.05545734000000001,0.0926518,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,Right,445.678,0.0561128,0.6542826899999998,0.15820426,0.052270409999999996,0.07912964,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,UDI/PR,72.03688,0.10267291,0.59194554,0.26999406,0.02835641,0.00703125,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,LR,307.8852,0.0449999,0.70963277,0.11661772,0.05034506,0.07840455,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,Radical right,749.0974,0.0738723,0.51904866,0.20691982,0.08021316,0.11994598999999999,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,Debout la France,65.75584,0.0568192,0.46373143,0.23045527,0.08748379999999999,0.16151007,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,Reconquete,147.8173,0.09824425,0.675,0.0941153,0.02006614,0.11257431000000001,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,RN,535.5243,0.06923897,0.48299618000000016,0.2349999,0.09592241,0.11684254,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Political similarity,No preference,1237.131,0.17998951,0.15337543,0.335,0.1886461600000002,0.1429889,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Total-left,1131.516,0.6183289500000001,0.06714795,0.1149999,0.041621410000000005,0.15790179,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Very Left,142.6294,0.7084762099999999,0.06811593,0.08993784,0.01847012,0.1149999,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Left,988.8856,0.6039424599999998,0.0670084,0.11999012,0.045,0.16405902000000003,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Center,563.3314,0.20887687,0.29446557,0.39080353,0.02027354,0.08557996,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Total-right,1218.829,0.07051007,0.64482885,0.1267972,0.0476445,0.11021873999999998,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Right,902.2204,0.07852316,0.64751887,0.13044928,0.04850879,0.09499990000000001,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Very Right,316.6082,0.04767574,0.63952966,0.11639038,0.0449999,0.15140432,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Both left and Right,133.1539,0.115,0.22196962,0.47973353999999996,0.08220495,0.10109189,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Politics,Neither left nor right,1147.739,0.10882134,0.10818486999999999,0.41262369,0.22647876,0.14389212,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Loss of job risk,High risk,355.196,0.21528396000000002,0.19472401000000003,0.2540313,0.06673386,0.26922651,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Loss of job risk,Low risk,1301.798,0.21524292,0.23291394,0.26315388,0.13661037,0.15207874,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
Loss of job risk,Zero risk,2535.911,0.26865269,0.31828921,0.2390451,0.0736749,0.10033913,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Arthaud,14.9456,0.40741442,0.054894080000000005,0.31628847,0.11899603000000002,0.1024072,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Poutou,20.7534,0.38021997999999996,0.20126953,0.305,0.01171397,0.10179652000000002,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Roussel,73.67443,0.4696039000000001,0.10504396,0.22019539,0.06335294,0.14180361,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Melenchon,649.4322,0.54670511,0.07862772,0.17327505,0.06021369,0.14117851,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Hidalgo,59.77274,0.59622101,0.15652167,0.12499990000000001,0.03762802,0.0846294,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Jadot,133.1518,0.41980478,0.1749999,0.27787788,0.04921207,0.07810537,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Macron,896.5161,0.25738222,0.32313586,0.28701303,0.05207223,0.08039749,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Pecresse,162.3292,0.06802658,0.5672009200000001,0.2549999,0.0542128,0.0555598,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Dupont-Aignan,69.27467,0.15284216,0.30731319,0.28902931,0.12915585,0.12165922,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Zemmour,224.3626,0.10499990000000001,0.5871631900000002,0.15760644,0.04595182,0.10427865000000001,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Le Pen,736.2916,0.10184077000000001,0.44037177999999993,0.2349999,0.10567203,0.11711552,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Lassalle,109.8835,0.21673836,0.26846933,0.34602329,0.09485009,0.07391839,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Blank/Null/NA,60.61626,0.14664986,0.14286333,0.25045772,0.27588918,0.18413987000000004,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Blank,37.6999,0.14347622,0.1771167,0.28988379,0.23672462999999996,0.15279823,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
1st round vote,Null,13.83081,0.11414697,0.10905493,0.15861233,0.39260759,0.22557804,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
2nd round vote,Macron,1697.31,0.31936682,0.27070724,0.25921841,0.0506483,0.10006092,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
2nd round vote,Le Pen,1194.616,0.13368455,0.4172865400000001,0.22642514,0.10760387,0.1149999,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
2nd round vote,Blank/Null/NA,257.1845,0.39276823,0.20157844000000003,0.19182696,0.07508007,0.13874623,"ce1_i3. Diriez-vous que les membres de votre famille suivants sont ou étaient plutôt de gauche, plutôt de droite, ou ni de gauche ni de droite ?
- Votre conjoint"
