Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,No rep.,Moyenne,Question
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.1797588803517874,0.6549999,0.13887157516463275,0.0085952,0.005,0.02432832,0.04926114,0.03048955,0.06269678,0.13122309,0.2794610799999999,0.24349391999999997,0.10627283,0.03259878,0.01157931,0.015,6.795255,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Socio-Professional Category,Prof Intermed,896.9079,0.265,0.6313357257751883,0.0849999,0.01570142,0.02009343,0.01815942,0.04344602,0.07138143,0.09618266,0.12396757999999998,0.26145561,0.24591276,0.06412248,0.02491029,0.00542754,0.00923839,6.414776,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Socio-Professional Category,Total-CSP-,1674.09,0.2630855569294363,0.579544827339032,0.09875621979702405,0.0171161,0.01780282,0.03850362,0.054999900000000004,0.03997667,0.09414648999999999,0.14723641,0.21499990000000002,0.21784879000000004,0.06677461,0.03198167,0.04711884,0.011494180000000001,6.309371,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Socio-Professional Category,Salaried,956.6466,0.2749378924254787,0.5973837151566733,0.08696136065293077,0.01592058,0.0149999,0.02840925,0.061540710000000005,0.04981688,0.10400577,0.14694496,0.23632170000000005,0.21436254999999999,0.0677627,0.01919868,0.03795803,0.00275829,6.282751,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Socio-Professional Category,Blue collar,717.4432,0.24728117849608164,0.5557586997827841,0.11448376679854237,0.01871022,0.02121369,0.0519636,0.04753809,0.02685562,0.08100007,0.14762521,0.18732799999999997,0.22126225999999993,0.0649999,0.04902667,0.05933395,0.02314272,6.346483,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,Far left,187.3446,0.2619977837631829,0.565,0.12273633720961265,0.01653943,0.00435507,0.02778062,0.03462995,0.05090637,0.12778639,0.22563276,0.11896361,0.2167596,0.0697607,0.05297559000000001,0.03354732,0.02036305,6.431295,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,Radical left,828.7407,0.2521319394594715,0.6249998999999999,0.08734595754739692,0.00822479,0.01235459,0.03985785,0.04948871,0.03399441,0.10821158,0.18249641,0.22451763,0.22275483999999998,0.06772769,0.0196183,0.01565055,0.01510335,6.367774,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,Left,1430.296,0.2249999,0.6500034957798945,0.09555280864939844,0.0029942,0.01140814,0.04258488,0.04010638999999999,0.04751393,0.08185781,0.145,0.26299791999999994,0.24170556,0.07800455,0.01754831,0.015,0.01327831,6.523557,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,PC/LFI,641.3963,0.2492501126058881,0.6497511756771905,0.07700881654602622,0.00579618,0.015,0.04338545,0.05382878,0.02905463,0.10249398,0.16989668,0.2550395200000001,0.22450582000000002,0.06713383,0.00987499,0.0104231,0.013567040000000002,6.349789,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,PS,449.3176,0.17803938683906437,0.6649999,0.11292186195243631,0.0012573400000000002,0.01246699,0.019594,0.01931544,0.04676556,0.07864003,0.12925356,0.27353836,0.26401147,0.09281853,0.02010333,0.02604859,0.01618706,6.816545,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,EELV,339.583,0.2449999,0.6282490584039837,0.10759637555472447,0.0,0.00380619,0.07149292,0.0416972,0.08336949,0.04713814,0.11652247000000002,0.26704938,0.24467723999999996,0.07893558,0.02866078,0.00776595,0.00888422,6.471737,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,EM,672.9198,0.0990551474336169,0.6649999,0.21361520347595658,0.00213366,0.00108443,0.01761128,0.02164745,0.015,0.0417649,0.061371550000000004,0.24383901,0.36193243000000025,0.14105648,0.07255881,0.015,0.005,7.486773,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,MoDem,161.1257,0.155,0.6849999,0.1543419206247048,0.0,0.005,0.03007599,0.012604870000000002,0.01565278,0.08655007000000002,0.1331736,0.23422483,0.32337593,0.12092596000000001,0.03341597,0.005,0,7.083026,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,Right,573.0042,0.1584090308587616,0.6701556463285959,0.16000722158755556,0.01932127,0.00723725,0.021291940000000002,0.03039164,0.03856935,0.0415976,0.15733993,0.24129404,0.27152192,0.12649183,0.03351541,0.00387453,0.0075536,6.860516,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,UDI/PR,89.32552,0.08477090309689773,0.6769215561241625,0.22253203787674566,0.0,0.00879017,0.0,0.0,0.03126495,0.04471578999999999,0.1083244,0.16720283,0.40139435999999995,0.16824957,0.05428242,0.01577567,0,7.565368,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,LR,397.5368,0.1470274450063491,0.684225460385051,0.15835248460016782,0.0249999,0.00666515,0.02172414,0.02767394,0.0361725,0.02926275,0.152383,0.26737114000000006,0.2649999,0.13070478,0.02764768,0.00203994,0.00835518,6.851024,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,Radical right,1008.8,0.3108215701823949,0.5602366177636796,0.09843860031720858,0.01932123,0.025073890000000005,0.04546481,0.07428449,0.04353574,0.10314146000000002,0.13986172,0.22738243000000002,0.19299237,0.06963424,0.02880435,0.01742223,0.01308139,6.104451,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,Debout la France,86.14185,0.295,0.5949998999999999,0.10280817047695166,0.01070867,0.00826713,0.0413762,0.075,0.0572049,0.09528844999999998,0.23049143000000002,0.20324848,0.1639194,0.06374825,0.03905991,0,0.01168718,6.176498,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,Reconquete,205.4045,0.3105402267233678,0.562345031389283,0.11328320460359922,0.01804618,0.026451450000000005,0.0518105,0.08294564999999998,0.04347363,0.08781282999999998,0.12135065000000002,0.21206283,0.2277215299999998,0.08991965,0.02336351,0.010041590000000001,0.005,6.164034,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,RN,717.2537,0.3137277646668118,0.5550719361921731,0.09366266078515872,0.02072074,0.02669788,0.04413859,0.07178445,0.04191185,0.10847431,0.13421202,0.235,0.18585957000000008,0.06453187,0.029130789999999997,0.02162827,0.01590966,6.078083,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Political similarity,No preference,1860.95,0.3049999,0.5492033638732905,0.09815588812165829,0.021194700000000004,0.026794700000000005,0.029662159999999996,0.05440323,0.05486031000000001,0.12040629999999998,0.13292754,0.2166523,0.19962396,0.06861818,0.02953772,0.03790841,0.00741137,6.174695,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Total-left,1649.278,0.255,0.625,0.0949999,0.00918186,0.01615905,0.03729068,0.04065352,0.05307956,0.09639642000000001,0.14867021,0.23829973,0.23796498,0.07487828,0.02165122,0.014781180000000001,0.01099354,6.426908,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Very Left,217.9165,0.3449999,0.5567444411047351,0.07499990000000001,0.05338375,0.015,0.04439231,0.056148939999999994,0.02224873,0.15436045,0.13058635,0.2490774800000001,0.17678271000000004,0.04330099,0.03375711,0.005,0.01596118,5.92702,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Left,1431.362,0.23866254658150768,0.6353162232894264,0.09949383873541423,0.00245238,0.01636122,0.0349999,0.03829441,0.05777336,0.0875717,0.15142333,0.23661338,0.24977930999999995,0.07968571,0.01980816,0.0149999,0.010237239999999998,6.503458,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Center,776.1196,0.125,0.7047125211114369,0.14499990000000001,0.0,0.00240866,0.00920671,0.01710553,0.03849391,0.055,0.11923348,0.26346274,0.32157185000000005,0.09428198,0.051866430000000005,0.0197492,0.00761951,7.19889,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Total-right,1622.94,0.225,0.6249998999999999,0.1338542398363464,0.01841572,0.01747289,0.03365441,0.03977156,0.04536106,0.06566244,0.13379386,0.24469913,0.25219158,0.10249868,0.03135561,0.00783434,0.00728784,6.582636,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Right,1193.119,0.185,0.6649999,0.14064623897532436,0.01612817,0.012113700000000002,0.030361499999999996,0.03628819,0.04116966,0.04738835,0.14440119,0.24889026000000003,0.27286968,0.1107395,0.02990677,0.00403582,0.00570637,6.736273,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Very Right,429.8207,0.32273550343201246,0.5322068015802869,0.11500092945732954,0.02476563,0.03234926,0.04279508,0.04944087,0.05699581,0.11638872,0.10434949,0.23285796000000025,0.195,0.07962353,0.0353774,0.01837846,0.011677790000000002,6.147232,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Both left and Right,200.4265,0.2749999,0.5905910645548368,0.12638917508413308,0.0,0.00704857,0.0149999,0.03925983,0.0768355,0.1349999,0.13647272,0.2349999,0.22199594,0.09876622999999998,0.02762293,0,0.00699858,6.577465,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Politics,Neither left nor right,1673.316,0.3149999,0.5113923490840941,0.10678604638932515,0.02055193,0.02873095,0.04223087,0.07331514,0.03195852,0.12362452999999998,0.1211293,0.19697135999999973,0.19093094000000002,0.075,0.03294154,0.04761492,0.015,6.097079,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Loss of job risk,High risk,556.2398,0.46937220242061073,0.4049999,0.085,0.04303915,0.05708254,0.10316324,0.07753935,0.08075127,0.10779667,0.14377999000000016,0.13828739,0.12499990000000001,0.04746059,0.03576287,0.01911839,0.02121865,5.183974,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Loss of job risk,Low risk,1874.312,0.2818449116262394,0.6045215524416425,0.0720108498478375,0.015,0.01851451,0.0333032,0.05399848000000001,0.05253833,0.10849325,0.14417306,0.26039342,0.19995204000000003,0.05197597,0.02003487,0.02640316,0.01521971,6.21394,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
Loss of job risk,Zero risk,3478.817,0.1910494285844872,0.6343601862357232,0.14744477792306981,0.00814748,0.01195214,0.020627940000000004,0.03691298,0.03348727,0.07992162,0.12428044,0.23044238999999997,0.27963865,0.11004123,0.03740349,0.0211133,0.0060329,6.843563,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
1st round vote,Arthaud,24.07418,0.1749999,0.656840232979898,0.06525115289492726,0.04176209,0.01450968,0.02493041,0.014830250000000001,0.05056679,0.035,0.2754288099999999,0.25888392,0.1224951,0.01616731,0.049083829999999995,0.09634181,0,6.160766,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
1st round vote,Poutou,32.85668,0.27157603872332814,0.6200020817684563,0.05832403030373124,0.02229726,0.0,0.0349999,0.03990306,0.07842807,0.09574683,0.10494261999999999,0.26643749000000017,0.24882289000000002,0.05832402999999999,0.0,0.05009785,0,6.307353,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
1st round vote,Roussel,98.04205,0.20330317450522503,0.6290380505099598,0.125,0.00755693,0.00241793,0.0249999,0.023612579999999998,0.04632856,0.09764914,0.11690524999999999,0.29342118000000006,0.21945002,0.11744246000000001,0.00737424,0.03788073,0.00496108,6.722848,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
1st round vote,Melenchon,942.3053,0.24168833604140824,0.646024807458899,0.07499990000000001,0.00697822,0.01616737,0.0349999,0.04640464,0.0449999,0.09147512,0.172047,0.2760921,0.19854945,0.06115459000000001,0.01474079,0.01943858,0.01695234,6.342183,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
1st round vote,Hidalgo,75.31895,0.18735789598766311,0.715,0.09156262799733667,0.01218337,0.0,0.0277249,0.0,0.04999685,0.09745285,0.14611024,0.24806918,0.31699153999999996,0.06708695,0.024475670000000005,0.0049999,0.00490855,6.806978,"new22. Etes-vous satisfait(e) de la vie que vous menez ? La note 0 signifiant que vous n'êtes pas du tout satisfait(e) de la vie que vous menez et la note 10 signifiant que
vous êtes tout à fait satisfait(e) de la vie que vous menez. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner
une note."
