Indicator,Category,BASE,ST Bonne,ST Mauvaise,Très bonne,Assez bonne,Assez mauvaise,Très mauvaise,No rep.,Question
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.475,0.48372904786186055,0.05531179,0.41965485,0.32999984,0.15372917,0.04130441000000001,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Prof Intermed,896.9079,0.4720267264899774,0.5080255174472206,0.0649999,0.40702799000000006,0.3818498,0.12617572,0.01994659,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Total-CSP-,1674.09,0.5241497768937154,0.42541553918845465,0.09168193,0.43246785,0.29680089,0.12861477,0.05043434000000001,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Salaried,956.6466,0.5096861265173576,0.4249999,0.07905317,0.43017936999999995,0.29281356,0.1329539,0.065,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Socio-Professional Category,Blue collar,717.4432,0.545,0.4249468111203786,0.10852128999999999,0.435,0.30203200999999996,0.12282889,0.03161781,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,Far left,187.3446,0.5999852677899442,0.393270209015899,0.1815929,0.41839236,0.28433197,0.10893829,0.006744899999999999,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,Radical left,828.7407,0.47363753222208105,0.5094996541137656,0.10465605,0.36898127,0.33095865,0.17854113,0.01686355,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,Left,1430.296,0.4717408844043471,0.5079679311135596,0.0661918,0.40499989999999997,0.34819307000000005,0.16032325,0.02029198,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,PC/LFI,641.3963,0.4349999,0.545,0.08218362,0.35412601000000005,0.345,0.19887128,0.01981909,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,PS,449.3176,0.4689188671888214,0.5146891641903188,0.055,0.41391852,0.37060155,0.14408768,0.01639225,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,EELV,339.583,0.5415977831634681,0.4320566695034792,0.05085755,0.49074041,0.32306064,0.10899606,0.02634506,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,EM,672.9198,0.4126077134303375,0.5752152039514961,0.07307694,0.33771694000000013,0.385,0.19202911999999997,0.012177,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,MoDem,161.1257,0.3549999,0.625,0.023485649999999997,0.33298114,0.45896328,0.16600809,0.01856167,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,Right,573.0042,0.4527230341418091,0.5218837837488801,0.07889837,0.37382449,0.38314676,0.13873692,0.02539344,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,UDI/PR,89.32552,0.34541763652761276,0.6004336722584991,0.040825129999999994,0.305,0.49125244999999995,0.10877352,0.0541489,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,LR,397.5368,0.47533813221819965,0.5049999,0.08571694,0.38962104,0.38491003,0.1218624,0.01788993,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,Radical right,1008.8,0.494766851704996,0.4703869944488502,0.10135071,0.39326249000000013,0.28816812,0.18221868000000002,0.035,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,Debout la France,86.14185,0.4596278115689412,0.5101689829043606,0.08691161999999998,0.37271605,0.26248693,0.24768205,0.03020324,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,Reconquete,205.4045,0.379527274232064,0.6034249493073424,0.06453822,0.315,0.28224255,0.3211712,0.01704803,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,RN,717.2537,0.5319888904023778,0.4275102380092288,0.11362706,0.41792182,0.29294948,0.135,0.04050164,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Political similarity,No preference,1860.95,0.46369477954808025,0.465,0.04916955,0.41452532,0.33621516,0.12755619,0.07253451,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Total-left,1649.278,0.4200929133839171,0.557658684588044,0.05959605,0.36049684,0.37830832999999997,0.17935066,0.02224821,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Very Left,217.9165,0.39925232830005986,0.5931716964984294,0.08693232999999999,0.31232009,0.32837573,0.26479592,0.007576460000000001,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Left,1431.362,0.4232656029711562,0.555,0.054999900000000004,0.36783133999999995,0.38634488000000006,0.16634199,0.02448189,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Center,776.1196,0.4832315792565991,0.509307972637207,0.08297922,0.40025236000000003,0.37027103,0.13903695,0.00746002,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Total-right,1622.94,0.4759066878627676,0.4978233945802063,0.08840449999999998,0.38877202,0.34152162,0.15630196,0.0249999,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Right,1193.119,0.455,0.519985181696042,0.07723049,0.3777844299999999,0.36516332,0.15482186,0.0249999,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Very Right,429.8207,0.5342418361889039,0.4363065808603448,0.11942209999999999,0.41481971,0.27589621,0.16041052,0.02945098,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Both left and Right,200.4265,0.38059163833125853,0.6067565915684802,0.02077464,0.35943177,0.405,0.20214163,0.01265196,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Politics,Neither left nor right,1673.316,0.49296444903413345,0.4203411071190379,0.06289703,0.4300673,0.29346358,0.12687747,0.08669504,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Loss of job risk,High risk,556.2398,0.550298090859374,0.42544043054811975,0.12499990000000001,0.42529812,0.27690611,0.14853445,0.024261420000000002,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Loss of job risk,Low risk,1874.312,0.5303345974416213,0.43361025272206555,0.07481764,0.4555168,0.31436292,0.11924754,0.03605529,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
Loss of job risk,Zero risk,3478.817,0.4136469380251965,0.5415007457995059,0.06008884999999999,0.35355812000000003,0.36967904000000007,0.17167399,0.045,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Arthaud,24.07418,0.6686366887678001,0.18787530873325697,0.17874146,0.4898954,0.09986280000000002,0.08801251,0.14348784,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Poutou,32.85668,0.635,0.3449999,0.11567057,0.51804717,0.27376348,0.07285535,0.01966371,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Roussel,98.04205,0.3100882733480175,0.6361249076289205,0.03874021,0.27112105000000003,0.395,0.24135226,0.05378647999999999,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Melenchon,942.3053,0.4665475191532935,0.5119653895611115,0.06564296,0.4009046700000001,0.3412904500000001,0.17067515,0.02148647,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Hidalgo,75.31895,0.30260870604276874,0.665,0.04653632,0.2549999,0.4891330000000001,0.17688709,0.03244369,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Jadot,198.8808,0.46408456723826536,0.49704028744856216,0.04275427,0.42133036000000007,0.3274579,0.16958233,0.03887523,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Macron,1195.294,0.41643361382220606,0.5625878654121914,0.06207462,0.355,0.4128150399999999,0.14913059,0.02097975,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Pecresse,205.1207,0.36209704822575195,0.6075106022941614,0.023072399999999996,0.33902463,0.43530496999999996,0.17220528999999998,0.03039212,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Dupont-Aignan,88.56025,0.4151028254775703,0.5615225792610116,0.10046687,0.315,0.29864572,0.26251281,0.023374599999999995,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Zemmour,303.4525,0.44254438503554927,0.5394224796302551,0.09499990000000001,0.34754401000000007,0.291209,0.24821384,0.01803325,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Le Pen,993.0248,0.5178275507318649,0.4442226417708802,0.08727195,0.43180734000000004,0.3049999,0.13797128,0.03794953,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Lassalle,134.5409,0.42781533347851847,0.5316653894837926,0.05099931,0.37681604999999996,0.3912825,0.14038289,0.04051875,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Blank/Null/NA,96.61228,0.43756466569260144,0.4749999,0.03885467,0.39871008,0.32297023,0.1532594,0.08620538,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Blank,63.86856,0.4311255804107686,0.5013374342556024,0.04716646,0.38395902,0.34044168,0.16089591,0.06753663,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
1st round vote,Null,19.09123,0.4541822082704991,0.4990844487233143,0.02248302,0.43169921000000006,0.31676707,0.18231733,0.04673361999999999,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
2nd round vote,Macron,2287.563,0.4353800092063038,0.5417831115470918,0.065,0.37186437999999994,0.3905391100000001,0.14975802,0.02283849,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
2nd round vote,Le Pen,1619.66,0.495,0.47163052739463834,0.0860906,0.40791956,0.3045215,0.16710920999999998,0.03435835,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
2nd round vote,Blank/Null/NA,370.4173,0.3648536393953522,0.575,0.04283617,0.3211382600000002,0.395,0.17957449999999997,0.061451069999999997,"q55_i2. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Que ce soient des experts et non un gouvernement qui décident ce qui leur semble le meilleur pour le pays"
