Indicator,Category,BASE,ST Inquiet,ST pas Inquiet,Très inquiet,Plutôt inquiet,Plutôt pas inquiet,Pas du tout inquiet,No rep.,Question
Political similarity,Far left,187.3446,0.7802258511854624,0.215,0.27627474,0.50395138,0.17567824,0.03927671,0.00481932,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,Radical left,828.7407,0.7591508417530357,0.23040427482323483,0.23055535,0.52859562,0.18625995,0.04414436,0.010445229999999998,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,Left,1430.296,0.7593596010895646,0.2310191736535654,0.21262487,0.54673487,0.19394076,0.03707842,0.00962173,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,PC/LFI,641.3963,0.755,0.23491685249821367,0.21720113,0.53635968,0.18935079999999999,0.0449999,0.01208849,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,PS,449.3176,0.7487060377781773,0.24946964018324674,0.19973613,0.54897004,0.21886545,0.03060412,0.00182458,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,EELV,339.583,0.7849999,0.1992443673564342,0.22103465,0.56444109,0.16963096,0.02961338,0.015279310000000003,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,EM,672.9198,0.6968799253640627,0.28466527511896667,0.15087355,0.54600608,0.26295868,0.0217066,0.0184547,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,MoDem,161.1257,0.6860618759142706,0.29275906947184716,0.11803896,0.56802298,0.28145746,0.011301649999999998,0.02117865,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,Right,573.0042,0.803312610972136,0.195,0.1749999,0.6283124800000001,0.17614391,0.01665698,0.00388673,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,UDI/PR,89.32552,0.7149998999999999,0.26799944741435594,0.08028725,0.6349999,0.25735912000000016,0.010922299999999998,0.01643143,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,LR,397.5368,0.8024633191191355,0.19562669418277753,0.16225461,0.64020891,0.17927432,0.0163524,0.00191018,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,Radical right,1008.8,0.8125488699444885,0.17505075337034098,0.30792575,0.5043328300000001,0.1403408,0.035,0.012400620000000001,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,Debout la France,86.14185,0.8982173008822076,0.10178259463895886,0.335,0.5632174000000001,0.07777341,0.02400919,0,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,Reconquete,205.4045,0.8042472292476551,0.185,0.32238684999999995,0.48186009,0.15556246,0.02693854,0.01325209,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,RN,717.2537,0.805,0.18171673426013696,0.2996371999999999,0.505,0.14349609,0.03822062,0.01364609,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Political similarity,No preference,1860.95,0.7821591122813616,0.18968559069292565,0.23371466,0.54844461,0.14790091,0.04178464,0.028155839999999998,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Total-left,1649.278,0.7448659352759207,0.2457563855214221,0.21359862,0.53126732,0.20930104,0.03645521,0.00937795,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Very Left,217.9165,0.7613645593610396,0.23863585364118825,0.25984251,0.50152191,0.19047626,0.04815959,0,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Left,1431.362,0.745,0.2449999,0.20655816,0.53579577,0.21216700999999996,0.03467327,0.01080568,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Center,776.1196,0.7497335462214844,0.24690421424739176,0.16369589999999998,0.58532091,0.235,0.01262085,0.0033623399999999997,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Total-right,1622.94,0.7968902115913096,0.19371819044450192,0.2401435,0.55756011,0.16790485,0.0249999,0.00939164,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Right,1193.119,0.7992533016404902,0.19368730193719152,0.21081041,0.58844298,0.17249285,0.02119443,0.007058139999999999,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Very Right,429.8207,0.7903267571803778,0.19380413739961802,0.32156827,0.46892832000000007,0.1549999,0.03863441,0.0158691,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Both left and Right,200.4265,0.7891471437160256,0.1849999,0.2274102,0.56173759,0.15113007,0.03392466,0.02579799,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Politics,Neither left nor right,1673.316,0.775,0.1919480241628001,0.24596172999999996,0.5270903,0.14405115,0.04789692000000001,0.0349999,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Loss of job risk,High risk,556.2398,0.8349998999999999,0.155,0.4149999,0.42366101000000006,0.11555788,0.03558419,0.01019702,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Loss of job risk,Low risk,1874.312,0.815,0.1649999,0.23574314,0.57738786,0.13382137,0.03278914,0.02025825,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
Loss of job risk,Zero risk,3478.817,0.7325700087127319,0.25086855675363207,0.18851227,0.54405765,0.21674954,0.03411901,0.01656267,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Arthaud,24.07418,0.8457384633661459,0.1114516049975534,0.375,0.47073833000000004,0.029064709999999997,0.0823869,0.04281006,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Poutou,32.85668,0.7499659125632901,0.24263531799317523,0.19267963,0.55754592,0.15737561,0.0849999,0.00739894,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Roussel,98.04205,0.8404420348207734,0.15005908179194538,0.16475186,0.67569018,0.15005908,0,0.00949861,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Melenchon,942.3053,0.7305588751331442,0.25107075169799004,0.20832187,0.52223648,0.22105511,0.030015700000000003,0.01837024,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Hidalgo,75.31895,0.7359121442877258,0.2640879884809865,0.13027346,0.60603733,0.20868931000000002,0.054999900000000004,0,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Jadot,198.8808,0.7374990446538832,0.24182248864646563,0.11972619,0.61777306,0.22126263999999998,0.02055986,0.0206785,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Macron,1195.294,0.7286001602952913,0.2588119742925171,0.155,0.57359944,0.2384062,0.020405719999999995,0.01258864,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Pecresse,205.1207,0.745,0.2427742787539239,0.16978194,0.5750000000000001,0.22862456999999997,0.01292854,0.01366495,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Dupont-Aignan,88.56025,0.8809130507197078,0.11098959183154972,0.3124544,0.56845876,0.09691075,0.01407883,0.00809738,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Zemmour,303.4525,0.8037251299626795,0.18096743312380026,0.27406121,0.52966412,0.15399906,0.0269684,0.01530749,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Le Pen,993.0248,0.8260266007455201,0.1649999,0.30102629000000003,0.525,0.13426271,0.03151132,0.00819968,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Lassalle,134.5409,0.8249998999999999,0.1699935855936745,0.17238349,0.65262292,0.16999359,0,0.005,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Blank/Null/NA,96.61228,0.7682907390240661,0.19685903282688286,0.21804899,0.55024185,0.13632232,0.06053669,0.03485001,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Blank,63.86856,0.835,0.15129274873270981,0.25775139,0.57609221,0.11257,0.03872273,0.01486346,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
1st round vote,Null,19.09123,0.5886744856145989,0.36230415745868655,0.14679091,0.44188332,0.20367775999999999,0.15862645,0.04902181,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
2nd round vote,Macron,2287.563,0.7444144707708596,0.24232451740126937,0.16211978,0.58055561,0.22126014,0.02106447,0.015,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
2nd round vote,Le Pen,1619.66,0.815,0.1749999,0.29537699,0.5175605099999999,0.14233957,0.0349999,0.00972303,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
2nd round vote,Blank/Null/NA,370.4173,0.8049999,0.1771998500070056,0.23459793,0.57177621,0.1458427,0.03135715,0.01642656,"q2v13b_i5. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences financières de la guerre pour vous-même et votre foyer"
