Indicator,Category,BASE,ST 1-2,ST 3-5,ST 6-7,1.0,2.0,3.0,4.0,5.0,6.0,7.0,Ne peut choisir,No rep.,moyenne,Question
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.045000000000000005,0.4549999,0.4593717456632396,0.01719318,0.0263183,0.07499990000000001,0.10892811999999999,0.2727523400000002,0.26342946,0.19594212,0.02822009,0.01221649,5.25756,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Socio-Professional Category,Prof Intermed,896.9079,0.0349999,0.5126841897590599,0.395,0.0249999,0.01043831,0.07499990000000001,0.14831545,0.28955787000000016,0.23758772,0.15597532,0.03695346,0.02117207,5.126432,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Socio-Professional Category,Total-CSP-,1674.09,0.025,0.5000073472752361,0.4049999,0.00821881,0.01669522,0.05604815,0.17934072,0.26461827,0.23300551,0.17233386,0.03347998,0.03625903,5.218514,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Socio-Professional Category,Salaried,956.6466,0.02979960415894438,0.48649417663743333,0.4180028445195958,0.01167595,0.01812365,0.06766159,0.16786471,0.25096781,0.25658012,0.16142283,0.03411287,0.03158994,5.187481,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Socio-Professional Category,Blue collar,717.4432,0.018399547169727165,0.5180258172354272,0.3884541661277157,0.0036090000000000002,0.015,0.04056265,0.195,0.28225352000000004,0.20157121999999997,0.18688267,0.03263609,0.04248485,5.260316,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,Far left,187.3446,0.044186504441547814,0.5649999,0.3355678786578316,0.02236844,0.02181806,0.06088177,0.15179877,0.35319812,0.19762107,0.13794681,0.03530982,0.01905753,5.047613,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,Radical left,828.7407,0.0449999,0.5824988443309228,0.3179854687962109,0.02216047,0.02324506,0.09046302,0.16101417,0.33102175000000006,0.21626487000000003,0.10172043,0.025675,0.02843589,4.914777,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,Left,1430.296,0.040092519310688135,0.5209246897145765,0.385,0.01695821,0.02313431,0.07747005,0.13713015,0.3049999,0.22889243000000015,0.15658178,0.03053988,0.024293289999999995,5.117891,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,PC/LFI,641.3963,0.0449999,0.595,0.31284963757976153,0.022099709999999998,0.02366186,0.09910333,0.165,0.325,0.21996004000000008,0.09113910000000001,0.02286076,0.0311752,4.875991,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,PS,449.3176,0.0049999,0.41337708560715175,0.5198469857401535,0.00223524,0.0029930199999999994,0.06085473,0.06902574,0.28227985999999994,0.27957618,0.24027080000000003,0.045,0.01776443,5.58763,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,EELV,339.583,0.07499990000000001,0.537754540127156,0.3392758176940541,0.0249999,0.04878766,0.05859398,0.17704647,0.3038421000000001,0.16982054,0.16945521,0.02752069,0.01993345,4.959291,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,EM,672.9198,0.0049999,0.3363761922297427,0.6183259877328621,0.00383636,0.00411841,0.029601860000000004,0.08885136000000002,0.217923,0.3401508500000003,0.27736604,0.015,0.02315212,5.747864,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,MoDem,161.1257,0.00522959465808372,0.41323016750276337,0.535,0.005229589999999999,0.0,0.08117234,0.09128575,0.24077208,0.31543013,0.21894017999999998,0.02238546,0.02478418,5.502463,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,Right,573.0042,0.02874326226579142,0.3092581171307296,0.6187504384784615,0.01813343,0.01060983,0.03491262,0.05937122,0.215,0.35323614999999997,0.26548846,0.013241160000000002,0.030007129999999996,5.680092,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,UDI/PR,89.32552,0.006496557758633815,0.3354734458864611,0.6449999,0.0,0.00649656,0.05083431,0.04818813,0.23645102,0.45302552,0.19330903,0.00719521,0.00450049,5.678229,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,LR,397.5368,0.030280643200830713,0.28924315937543393,0.6316743506513107,0.0249999,0.00515587,0.0203227,0.04339032,0.22553022,0.34847982000000005,0.28331893,0.013419680000000002,0.03538256,5.751674,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,Radical right,1008.8,0.040880888183980967,0.43167773592386993,0.48335160586835846,0.0064386,0.03444229,0.06105446,0.13645054,0.23417258000000002,0.26095014,0.22240127,0.02776573,0.01632464,5.332785,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,Debout la France,86.14185,0.04471727737447013,0.375,0.5305057878371546,0.00467259,0.04004468,0.08573366,0.145,0.14398913,0.27217397000000015,0.25804995,0.01868672,0.0316493,5.351225,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,Reconquete,205.4045,0.039166600536989206,0.373878225647442,0.5450800737082196,0.01523528,0.023931320000000002,0.043826140000000006,0.08841106,0.24164086,0.2980109,0.24706932000000004,0.02495211,0.01692299,5.504476,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,RN,717.2537,0.04091106117681931,0.4549999,0.4600104537627342,0.00413153,0.03677954,0.06302428,0.14921485,0.24286497,0.24826724000000003,0.21105573,0.02966186,0.015,5.281309,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Political similarity,No preference,1860.95,0.029784094145463336,0.4565876031059405,0.42196813455493165,0.01451381,0.01527029,0.05842226,0.17214788,0.22601752000000003,0.25071555,0.1712528,0.062289529999999996,0.02937146,5.220581,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Total-left,1649.278,0.04142476889887575,0.506939824577785,0.39492305117754556,0.01614557,0.0249999,0.08705737,0.13228637,0.28787478000000016,0.24418661,0.15073656,0.03815235,0.01856049,5.104781,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Very Left,217.9165,0.115,0.5212354273311107,0.295,0.05859341,0.0560762,0.12010669,0.12172805,0.27994514,0.15573093,0.13855229,0.0349999,0.03426739,4.643397,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Left,1431.362,0.03027365544146065,0.5047630857882213,0.41024478783145,0.00968313,0.020590519999999998,0.08202572,0.1338938,0.288843,0.25765341,0.15259145,0.03854931,0.01616919,5.173903,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Center,776.1196,0.015,0.4178791516152923,0.5349999,0.00694696,0.005690140000000001,0.05750493000000001,0.11236471,0.24800959,0.31380808,0.22134166,0.011576169999999998,0.022757300000000005,5.501476,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Total-right,1622.94,0.03706780903791884,0.37157960244987487,0.5488742036058017,0.01283977,0.025,0.041392,0.09646666,0.23372115,0.305,0.24310347000000007,0.02043851,0.022038439999999996,5.510953,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Right,1193.119,0.0349999,0.36891123182180485,0.5556801961916624,0.01332411,0.02209778,0.03959677,0.085,0.24457125,0.3172516500000001,0.23817255,0.01792884,0.02205705,5.531583,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Very Right,429.8207,0.041636687111625846,0.3789877965393477,0.5299830836439473,0.0114953,0.03014138,0.046375339999999994,0.12900961,0.20360294,0.27105861,0.25892471,0.027404989999999997,0.0219868,5.453123,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Both left and Right,200.4265,0.0249999,0.39771851526619484,0.5166287891072288,0.0049999,0.02161422,0.04767399,0.08772777,0.26231676,0.30735534999999997,0.20928011,0.02661357,0.03241833,5.486691,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Politics,Neither left nor right,1673.316,0.025,0.4723532195951034,0.405,0.01557691,0.00888235,0.05148417,0.19626741,0.22460199,0.22845323000000012,0.1754864,0.06424764,0.0349999,5.212169,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Loss of job risk,High risk,556.2398,0.07499990000000001,0.41736927131068297,0.4157381402769094,0.02439455,0.0529077,0.06730333,0.11807798,0.23198807,0.20831339000000001,0.20742475,0.03751263,0.052077450000000004,5.125412,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Loss of job risk,Low risk,1874.312,0.03634815868435992,0.5444595136775521,0.3569528979166756,0.01862085,0.0177273,0.06428823,0.18224751000000003,0.29792377,0.22108298999999998,0.13586986,0.03797386,0.02426565,5.05794,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
Loss of job risk,Zero risk,3478.817,0.02239655032156046,0.39389252150946713,0.5264953574735319,0.00864136,0.01375518,0.05434827,0.11516757,0.22437673,0.30099198,0.22550358,0.0352009,0.02201597,5.479753,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Arthaud,24.07418,0.026686865347023248,0.47966452024534173,0.3797364645441714,0.02668687,0.0,0.015,0.09414601,0.3705187799999999,0.19035473,0.18938169,0.06433814,0.04957378,5.382089,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Poutou,32.85668,0.05747954449445288,0.5355754141927913,0.3349999,0.01829498,0.03918454,0.07861318,0.16934750999999998,0.28827095000000014,0.29499990000000004,0.04193388,0.06935506,0,4.851949,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Roussel,98.04205,0,0.48337789754498195,0.45001058219406875,0.0,0.0,0.06840345,0.1149999,0.2995378,0.3258790400000001,0.12456869,0.04893394,0.01767718,5.345339,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Melenchon,942.3053,0.0349999,0.5189225827340672,0.3661847174158948,0.01497102,0.02478662,0.08347305,0.16686694,0.26858259,0.22712437,0.13906034,0.03809072,0.03704406,5.040209,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Hidalgo,75.31895,0,0.5010769534094673,0.495,0.0,0.0,0.09773173,0.13176238,0.27158278,0.37810025999999997,0.11582294999999998,0,0.0049999,5.283465,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Jadot,198.8808,0.01853255819566293,0.5392958998555919,0.4162972494076854,0.0,0.01853256,0.05313811,0.18762932,0.29852836,0.27126847,0.14502873,0.02345618,0.00241843,5.217449,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Macron,1195.294,0.0049999,0.357762190724625,0.6075454239710062,0.0030000100000000004,0.0038225,0.03243532,0.09067869,0.235,0.355,0.25219255000000007,0.01699917,0.01087176,5.700446,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Pecresse,205.1207,0.00597170348970143,0.3149999,0.6444337407194886,0.0,0.0059717,0.03416479,0.07255299,0.21016423000000006,0.4349999,0.20917323,0.01622581,0.01674735,5.718501,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Dupont-Aignan,88.56025,0.031911788866901346,0.4949999,0.4051855093001657,0.0,0.03191179,0.1325737,0.16282169,0.20149661,0.195,0.20882665000000003,0.045,0.022369560000000004,5.099531,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Zemmour,303.4525,0.0349999,0.37213534243415364,0.5372501462337599,0.01489545,0.02067093,0.05275181,0.09874530999999999,0.22063822,0.31893868,0.21831163,0.04833455,0.0067138399999999996,5.454751,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Le Pen,993.0248,0.041550654122636206,0.445,0.4615376171874056,0.00978208,0.03176857,0.06041936,0.15621402,0.2283225,0.24734609,0.21419162999999997,0.03150011,0.020455450000000003,5.278724,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Lassalle,134.5409,0.03008433123310458,0.4939908236082856,0.4178839297195128,0.01528473,0.0147996,0.08361538999999998,0.18163339,0.22874197,0.25830941,0.15957475,0.03505989,0.02298055,5.13064,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Blank/Null/NA,96.61228,0.036769104300198696,0.4473123913440404,0.41409735905207906,0.00987232,0.02689678,0.050043210000000005,0.16165004999999996,0.23561901,0.2525119,0.16158546,0.07688938,0.02493159,5.215733,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
1st round vote,Blank,63.86856,0.04112607204546337,0.45253016507652594,0.43000296233389323,0.0149336,0.02619246,0.05081815,0.1616761,0.2400361,0.26382777,0.16617518999999997,0.05828729,0.01805305,5.210634,"q1v13b_i3. Il existe différentes opinions sur ce qu'est un bon citoyen. En utilisant une échelle de 1 à 7, où 1 veut dire que 'ça n'est pas important du tout' et 7 veut dire que
c'est très important', diriez-vous personnellement, que... ? Pas important du toutTrès important
- Toujours obéir aux lois et aux règles..."
