Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,No rep.,Moyenne,Question
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.4849999,0.435,0.0649999,0.03397904,0.0268621,0.07499990000000001,0.08472882999999999,0.09536993,0.1695114200000002,0.12517235,0.16569103,0.13621533,0.03214933,0.0349999,0.02032084,5.409682,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Socio-Professional Category,Prof Intermed,896.9079,0.565,0.3649999,0.045000000000000005,0.03122549,0.06599527,0.05259249,0.08542252,0.12356787,0.2052568700000001,0.10182979,0.17360244,0.09276784000000002,0.025,0.01943116,0.02330826,5.051996,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Socio-Professional Category,Total-CSP-,1674.09,0.595,0.2949999,0.06448715421512584,0.06682861,0.04464851,0.075,0.09984780000000001,0.11129551,0.19582677999999995,0.10426948,0.12396388,0.06883226,0.03315724,0.03132993,0.045,4.79006,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Socio-Professional Category,Salaried,956.6466,0.5993112817209616,0.3013653108681931,0.05693121158848001,0.06108753,0.04332098,0.08610191,0.1003632,0.12328760000000005,0.185,0.11271843,0.11880824,0.06983861,0.03208153,0.025,0.04239197,4.739571,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Socio-Professional Category,Blue collar,717.4432,0.5849998999999999,0.29133247064018447,0.075,0.0744839,0.04641866,0.05999699,0.09916067,0.09427422,0.21095226000000009,0.09300359000000001,0.13083847,0.06749039,0.035,0.03997079,0.04841005999999999,4.857808,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,Far left,187.3446,0.4249999,0.385,0.09819840016739206,0.06496376,0.045988980000000006,0.01465594,0.07402695,0.05481187999999999,0.17512018,0.10019871999999999,0.1654242,0.11802096,0.05020964,0.04798875,0.08859049,5.515996,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,Radical left,828.7407,0.501350181063872,0.37857933126730714,0.0649999,0.05643675,0.04745371,0.04727653999999999,0.08386483,0.09189964999999999,0.17401021999999994,0.10909888,0.155,0.11452013,0.04127173,0.02416756,0.055,5.185163,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,Left,1430.296,0.495,0.40424059075883595,0.07453673924837935,0.035,0.03688151,0.062131,0.09013015,0.10267427,0.16510463000000006,0.13887762,0.15367952,0.11168353,0.04188016,0.03265654,0.029301069999999995,5.331317,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,PC/LFI,641.3963,0.522316701858118,0.3749999,0.055870699597113355,0.0539461,0.04788154,0.05680461999999999,0.08673832,0.10273252,0.17392648999999982,0.11169846,0.15190371,0.11349754,0.03866104,0.01720966,0.045,5.092968,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,PS,449.3176,0.4149999,0.45793465468523825,0.1102959910762454,0.01713532,0.0248376,0.03970626,0.08360411,0.09207496,0.15845578,0.16025522,0.16528487,0.13239464,0.05873231000000001,0.05156366,0.01595554,5.83058,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,EELV,339.583,0.5349999,0.3844574080563515,0.065,0.02169661,0.03204071,0.10186236999999998,0.10499990000000001,0.11658826,0.15785599,0.16209854000000004,0.14167773,0.08085293,0.0256624,0.03681527,0.01784929,5.107319,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,EM,672.9198,0.2920618474891064,0.5258552356462093,0.16435955666633678,0.00506717,0.00343289,0.0274894,0.03133445,0.07399059,0.15074738,0.12349776000000001,0.235,0.16735781000000008,0.08097576999999999,0.08338379,0.01772299,6.607143,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,MoDem,161.1257,0.403452583914298,0.5208332376523422,0.06932444668975837,0.0,0.00949547,0.08726417,0.06061334000000001,0.123496,0.12258373000000002,0.11577054,0.22473193,0.18033070000000004,0.05074058,0.01858384,0.0063894,5.863126,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,Right,573.0042,0.425,0.45175201159084,0.10499990000000001,0.02998327,0.01221144,0.06704553,0.075,0.08771972,0.14935231,0.11822667,0.2109099699999999,0.12251966,0.08270414,0.02374538,0.02058191,5.735041,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,UDI/PR,89.32552,0.3125736071841507,0.517611092552274,0.165,0.0,0.00731079,0.02813,0.07480685,0.09361648,0.10870948999999999,0.1311961,0.16617939,0.2209058800000001,0.14621667,0.01792845,0.0049999,6.45013,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,LR,397.5368,0.4203288852755267,0.44173243835539244,0.109546738817639,0.03648165,0.01455435,0.06146545,0.05515311,0.09168173,0.16099264,0.115,0.22351779000000008,0.10321418999999998,0.08189705,0.02764967,0.02839237,5.731696,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,Radical right,1008.8,0.6349999,0.285,0.053653300951625696,0.08500816,0.06899319,0.09033882,0.12405958,0.11430402,0.1524262799999999,0.095,0.11641019,0.07225353,0.029728,0.0239253,0.02755293,4.433003,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,Debout la France,86.14185,0.5379732383272474,0.42969822449831296,0.03232829339049487,0.031085289999999998,0.00648089,0.13315084,0.1661571,0.06332086,0.13777833,0.12159026,0.19782266,0.11028543000000002,0.02056903,0.01175927,0,5.012727,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,Reconquete,205.4045,0.5709514640623744,0.2890899176989793,0.08753965954981512,0.07126051,0.06186495,0.13074592,0.09662013,0.07259471,0.13786558,0.10762242,0.11428547,0.06718202,0.06537194,0.022167689999999997,0.05241867,4.628771,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,RN,717.2537,0.6649999,0.265,0.04651018182269398,0.09499990000000001,0.07854222,0.07362547,0.12686169,0.13237163,0.1588340100000001,0.08813445,0.10724111000000001,0.06913827,0.02062042,0.02588977,0.023741060000000005,4.30727,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Political similarity,No preference,1860.95,0.6050237781778125,0.3049999,0.04143937773717724,0.0556383,0.05183854,0.0733758,0.10089433,0.09955656999999998,0.225,0.10200618,0.14028100000000004,0.0630564,0.01896966,0.02246973,0.04691349,4.743473,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Total-left,1649.278,0.495,0.3849999,0.0849999,0.03753178,0.03859665,0.05661106999999999,0.09407692,0.1062457,0.16074385,0.1149999,0.1661511499999999,0.10458661,0.0449999,0.04009495,0.03536152,5.348147,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Very Left,217.9165,0.5685760371518448,0.2805709067463914,0.09000520841698541,0.10245521,0.10604736,0.0325055,0.11112123,0.05672365,0.1597232,0.06872109,0.11778177,0.09406800000000001,0.03574295,0.05426225,0.060848259999999994,4.667598,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Left,1431.362,0.48242268552609324,0.4013448729252278,0.085,0.02764756,0.02832765,0.06028098,0.09148203,0.11378512,0.1608992,0.12218705,0.17297001,0.10618795,0.046812740000000005,0.03793805,0.0314813,5.448615,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Center,776.1196,0.40854991936809737,0.4649999,0.10538150305700307,0.00887149,0.00505102,0.05167276999999999,0.06751715,0.12385609,0.15158128,0.12489339,0.21030805000000002,0.13106382,0.05679556,0.04858591000000001,0.01980282,5.949139,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Total-right,1622.94,0.48916583484293935,0.4006961440348996,0.08692083502778906,0.05336296,0.04866322000000001,0.06723317,0.08256978000000001,0.09696064,0.14037611,0.11363575,0.1708776,0.11618291,0.05726156,0.02965933,0.02321602,5.2621,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Right,1193.119,0.435,0.4449999,0.09242405828756395,0.03097565,0.035,0.05946281,0.07714158,0.09598146,0.13443454,0.12393793,0.19267034999999996,0.12990657,0.06169107000000001,0.03073299,0.02806505,5.59426,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Very Right,429.8207,0.6458655900006678,0.2727332583098022,0.07164494404294629,0.1149999,0.08737066,0.08880251999999998,0.09763778,0.0996787,0.15741515000000006,0.0849999,0.10960635,0.07808828,0.04496594,0.026679010000000003,0.00975581,4.357124,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Both left and Right,200.4265,0.5248831866045658,0.41934928764409896,0.039398921799263076,0.03520759,0.01405932,0.04292434,0.07120441,0.10441738,0.25707005,0.16275438,0.17946449,0.07713047,0.0196149,0.01978403,0.01636907,5.327948,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Politics,Neither left nor right,1673.316,0.6244708112514312,0.2815167607313861,0.03724007898089781,0.07279886,0.05456987,0.07767152,0.10112591,0.08109065999999998,0.23721449,0.09683831,0.12308518,0.06159314999999999,0.01536939,0.02187069,0.05677291,4.575912,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Loss of job risk,High risk,556.2398,0.6549999,0.255,0.0566516995008268,0.15120247000000012,0.10199181999999998,0.1320833,0.08030545,0.07019453,0.11962468,0.095,0.09777812,0.0614232,0.025714569999999996,0.030937119999999995,0.03374474,3.902896,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Loss of job risk,Low risk,1874.312,0.5710260618296207,0.35719015830875545,0.029714519247595918,0.04745666,0.054999900000000004,0.06464516,0.10561507,0.10533844,0.19297042999999992,0.10741515,0.17971138,0.07006379,0.0199576,0.00975692,0.0420695,4.830135,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
Loss of job risk,Zero risk,3478.817,0.47028400746575627,0.39976319536210153,0.0998482242670425,0.03246908,0.022917989999999996,0.05560086,0.07994353,0.10031482000000001,0.17897970000000002,0.11861374,0.16154928999999998,0.1196004,0.055,0.044904690000000004,0.0301059,5.581288,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Arthaud,24.07418,0.5169796022128272,0.3297990211919991,0.049083831723448115,0.0,0.05429967000000001,0.10197431,0.02584279,0.04894331,0.28591931,0.11814242,0.10122804,0.11042856,0.0,0.049083829999999995,0.10413759,5.305351,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Poutou,32.85668,0.3807012759658006,0.5558757001620371,0,0.07911648,0.01694696,0.07298361,0.08139547000000001,0.08810982,0.04214902,0.225,0.20271873000000024,0.12815683,0.0,0.0,0.06342308,5.08764,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Roussel,98.04205,0.4505167935594982,0.46557135433214625,0.05977971696838244,0.01124573,0.03709002,0.059697610000000005,0.08938273,0.10938429,0.1437164,0.13642585,0.19865965000000002,0.13039476,0.03487116,0.025,0.0241318,5.5301,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
