Indicator,Category,BASE,Il s'est amélioré,Il est resté stable,Il s'est dégradé,No rep.,Question
Political similarity,PC/LFI,641.3963,0.08111763,0.39877857,0.51917808,0.00092618,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,PS,449.3176,0.08137676,0.55402214,0.35596024,0.00864111,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,EELV,339.583,0.06909763,0.5650000000000001,0.36208918000000007,0.00381319,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,EM,672.9198,0.18619931,0.6564913099999999,0.15294973,0.00435986,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,MoDem,161.1257,0.1425366,0.55888828,0.295,0.00357512,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,Right,573.0042,0.06065696999999999,0.46508996,0.47000371,0.00424975,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,UDI/PR,89.32552,0.04799467,0.66960774,0.26903375,0.01336415,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,LR,397.5368,0.05822064999999999,0.47523877,0.46341873,0.00312265,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,Radical right,1008.8,0.04635767,0.32091624,0.62986142,0.00286459,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,Debout la France,86.14185,0.0849999,0.2061783,0.7088218000000001,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,Reconquete,205.4045,0.03895994,0.2830715,0.66946586,0.00850264,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,RN,717.2537,0.04383158999999999,0.3455340800000001,0.60904085,0.0015940199999999998,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Political similarity,No preference,1860.95,0.05161832,0.4223080999999999,0.515,0.011073579999999998,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Total-left,1649.278,0.075,0.45352967,0.46833961,0.00313072,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Very Left,217.9165,0.10499990000000001,0.39712059,0.4978795100000001,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Left,1431.362,0.06868471,0.46211734,0.46559061,0.0036073499999999996,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Center,776.1196,0.12774088,0.62142652,0.24754703,0.0032851900000000003,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Total-right,1622.94,0.08027198,0.43421063,0.48051739,0.005,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Right,1193.119,0.08859819999999999,0.465,0.44223207000000003,0.00416973,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Very Right,429.8207,0.05715962,0.35034702,0.58815432,0.00433864,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Both left and Right,200.4265,0.06596433,0.52273776,0.40214537,0.00915305,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Politics,Neither left nor right,1673.316,0.06250923,0.39907734,0.5234134300000001,0.015,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Loss of job risk,High risk,556.2398,0.11813326,0.27070447,0.61116249,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Loss of job risk,Low risk,1874.312,0.07555973,0.4541850599999999,0.46184392,0.00841152,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
Loss of job risk,Zero risk,3478.817,0.07455057,0.49037618000000005,0.4280205,0.00705404,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Arthaud,24.07418,0.15951239,0.38650558000000007,0.43441272,0.01956936,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Poutou,32.85668,0.03585965,0.4639981899999999,0.50014213,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Roussel,98.04205,0.04986818,0.42975948,0.51139037,0.00898176,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Melenchon,942.3053,0.075,0.43199959,0.49035963000000005,0.0026407799999999997,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Hidalgo,75.31895,0.04609837,0.5832892,0.37061271,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Jadot,198.8808,0.10792289,0.52084213,0.36472425,0.00651091,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Macron,1195.294,0.17021377,0.6414962300000001,0.17913099,0.00915957,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Pecresse,205.1207,0.03864569,0.56239765,0.39895657,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Dupont-Aignan,88.56025,0.04721419999999999,0.3149999,0.6377859000000001,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Zemmour,303.4525,0.05330109,0.30907374,0.6326251700000002,0.005,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Le Pen,993.0248,0.03927777,0.33771834999999994,0.62026155,0.0027421299999999997,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Lassalle,134.5409,0.04939818,0.36266882000000006,0.58260232,0.005330239999999999,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Blank/Null/NA,96.61228,0.0361667,0.39715540999999993,0.54167799,0.0249999,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Blank,63.86856,0.02482217,0.42902987,0.52506977,0.02107798,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
1st round vote,Null,19.09123,0.02857475,0.37096531,0.60046,0,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
2nd round vote,Macron,2287.563,0.13197704,0.60424216,0.2580099,0.005772220000000001,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
2nd round vote,Le Pen,1619.66,0.0457025,0.31072818,0.6415118,0.00205703,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
2nd round vote,Blank/Null/NA,370.4173,0.04896005,0.33245558,0.60341944,0.01516494,"new25. Au cours de ces dernières années, d'une manière générale, avez-vous le sentiment que votre niveau de vie s'est amélioré ou dégradé ?"
