Indicator,Category,BASE,Un devoir,Un choix,No rep.,Question
Political similarity,EM,672.9198,0.8217214,0.17586940000000004,0.00240963,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,MoDem,161.1257,0.89016898,0.10983139,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,Right,573.0042,0.79174516,0.20580216,0.00245303,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,UDI/PR,89.32552,0.73135001,0.26865033,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,LR,397.5368,0.81573303,0.18073127,0.0035357700000000006,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,Radical right,1008.8,0.6855327100000002,0.31105065,0.00341671,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,Debout la France,86.14185,0.74366884,0.25633116,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,Reconquete,205.4045,0.76611661,0.22009416,0.01378952,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,RN,717.2537,0.65547365,0.34367017,0.00085653,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Political similarity,No preference,1860.95,0.47633961,0.51330971,0.010351289999999999,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Total-left,1649.278,0.62392023,0.37107977,0.005,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Very Left,217.9165,0.5316870200000001,0.465,0.00331298,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Left,1431.362,0.63826237,0.35685793999999993,0.00487963,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Center,776.1196,0.77650403,0.2213758,0.00212035,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Total-right,1622.94,0.75148911,0.245,0.00351089,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Right,1193.119,0.76267506,0.23232494,0.005,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Very Right,429.8207,0.7196977699999999,0.27887256,0.00142932,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Both left and Right,200.4265,0.7379383500000001,0.2620619,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Politics,Neither left nor right,1673.316,0.47388969,0.50956717,0.0165438,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Loss of job risk,High risk,556.2398,0.61979959,0.38020023,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Loss of job risk,Low risk,1874.312,0.60977628,0.38646447,0.00375934,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
Loss of job risk,Zero risk,3478.817,0.66332865,0.32666478,0.01000744,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Arthaud,24.07418,0.60484843,0.39515144,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Poutou,32.85668,0.48111799,0.51888201,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Roussel,98.04205,0.73213075,0.24258642,0.02528252,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Melenchon,942.3053,0.6643088999999999,0.33065748,0.00503322,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Hidalgo,75.31895,0.90313819,0.09686188,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Jadot,198.8808,0.78337929,0.21034313,0.0062777200000000005,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Macron,1195.294,0.85730707,0.14009951,0.0025929600000000005,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Pecresse,205.1207,0.87020813,0.12979168,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Dupont-Aignan,88.56025,0.66376811,0.33623189,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Zemmour,303.4525,0.77665565,0.21372682999999998,0.00961758,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Le Pen,993.0248,0.76764024,0.22946022999999996,0.0028994700000000003,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Lassalle,134.5409,0.72861791,0.27138157,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Blank/Null/NA,96.61228,0.6564213199999999,0.3435784800000001,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Blank,63.86856,0.6938706599999999,0.30612918,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
1st round vote,Null,19.09123,0.57209619,0.42790412,0,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
2nd round vote,Macron,2287.563,0.8253718,0.17052299999999998,0.00410637,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
2nd round vote,Le Pen,1619.66,0.75230604,0.24254208,0.00515191,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
2nd round vote,Blank/Null/NA,370.4173,0.72831048,0.26804137,0.0036488,"q18v13b. Pour vous personnellement, voter à une élection est avant tout un devoir ou un choix ?"
