Indicator,Category,BASE,ST Bonne,ST Mauvaise,Très bonne,Assez bonne,Assez mauvaise,Très mauvaise,No rep.,Question
Socio-Professional Category,Prof Intermed,896.9079,0.9209418269144468,0.06889087497166654,0.40963414000000004,0.5113069,0.05718425,0.01170661,0.01016698,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Socio-Professional Category,Total-CSP-,1674.09,0.8553650042709772,0.10499990000000001,0.34864392000000005,0.5079037700000001,0.08993865,0.0149999,0.03851376,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Socio-Professional Category,Salaried,956.6466,0.855,0.10430722275080474,0.3499449499999999,0.505,0.09334106,0.01096615,0.04074784,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Socio-Professional Category,Blue collar,717.4432,0.8549998999999999,0.10854059248174627,0.34499989999999997,0.5109246800000001,0.08540184,0.02313877,0.03553481,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,Far left,187.3446,0.8749998999999999,0.11889891675554032,0.3640841,0.51154728,0.09113655,0.02776237,0.00547001,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,Radical left,828.7407,0.9104187835833332,0.07834454130224329,0.45096494,0.45945421,0.06171543,0.01662912,0.0112369,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,Left,1430.296,0.9317323127520457,0.05675042089189929,0.49857051,0.4331616,0.04661833,0.01013208,0.011518180000000001,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,PC/LFI,641.3963,0.925,0.0649999,0.4755796000000001,0.445,0.05312184,0.01337722,0.01292134,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,PS,449.3176,0.9430763451064458,0.05261997304356651,0.55929509,0.38308493,0.0417861,0.01083388,0.005,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,EELV,339.583,0.9377833990511892,0.04380239882444056,0.45928448,0.47849833,0.04072828,0.00307411,0.01841409,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,EM,672.9198,0.9699270254791135,0.0249999,0.57439069,0.39546154,0.02198024,0.00316753,0.005,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,MoDem,161.1257,0.9655672558753817,0.031113217816896993,0.52846722,0.43709954000000006,0.03111322,0,0.0033198499999999996,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,Right,573.0042,0.955,0.03122982344632029,0.42699616999999995,0.5268975,0.0249999,0.00610653,0.0149999,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,UDI/PR,89.32552,0.9349999,0.025,0.56253411,0.37307334,0.025,0,0.03939255,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,LR,397.5368,0.975,0.02093294004479585,0.40842709,0.56569906,0.0149999,0.00587405,0.0049999,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,Radical right,1008.8,0.8522618953211737,0.12605045598731165,0.33829461000000005,0.51396759,0.10688214,0.01916831,0.02168786,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,Debout la France,86.14185,0.8760872909044791,0.0849999,0.37106969,0.5050176,0.07277188,0.01351161,0.03762905,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,Reconquete,205.4045,0.905,0.09264495179024801,0.32936588000000006,0.5750000000000001,0.08291044999999998,0.0097345,0.0029891699999999998,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,RN,717.2537,0.835,0.14039286238607065,0.33654786,0.49805932999999997,0.11784362,0.022549289999999996,0.0249999,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Political similarity,No preference,1860.95,0.8204975953142212,0.12506725059781293,0.30597963,0.51448698,0.09009791,0.035,0.05443548,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Total-left,1649.278,0.9449998999999999,0.045000000000000005,0.5335305100000001,0.41382914,0.03981334,0.005,0.00782701,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Very Left,217.9165,0.9449513919322309,0.045308693926343346,0.5330784099999999,0.41130378,0.045,0.00087748,0.00974033,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Left,1431.362,0.9449998999999999,0.045000000000000005,0.53361575,0.41421339,0.03911029,0.00552474,0.00753571,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Center,776.1196,0.954092771268758,0.040732369083321694,0.48911083,0.46498169,0.03497181,0.00576055,0.00517471,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Total-right,1622.94,0.9081728221622488,0.07899441753854117,0.38271224,0.5254596,0.0657792,0.01321517,0.01283257,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Right,1193.119,0.9188312314194981,0.06740162548748281,0.39554856,0.52328267,0.05953735,0.00786427,0.01376615,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Very Right,429.8207,0.8785847214896816,0.1111742175283787,0.34708077,0.53150325,0.08310575,0.028068470000000005,0.01024109,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Both left and Right,200.4265,0.9349999,0.045000000000000005,0.46325057,0.47412139,0.03638903,0.00756775,0.01867165,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Politics,Neither left nor right,1673.316,0.7753604220601488,0.1549999,0.27552142,0.49983924,0.11345340999999999,0.04167794,0.06950851,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Loss of job risk,High risk,556.2398,0.8622860140536511,0.11749583542925195,0.4279488799999999,0.43433677,0.0790522,0.03844362,0.020218380000000005,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Loss of job risk,Low risk,1874.312,0.851306506067293,0.128591504509388,0.31342749,0.53725678,0.1042136,0.025,0.02010213,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
Loss of job risk,Zero risk,3478.817,0.9102927805630477,0.0580402188445095,0.46030073000000005,0.4499932,0.045512199999999996,0.01252801,0.03166703,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Arthaud,24.07418,0.7698073205400974,0.18408444233614604,0.25377961,0.51602796,0.11306965000000001,0.07101476,0.04610799,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Poutou,32.85668,0.8428949607811868,0.1333787528137353,0.31165596,0.5299653000000001,0.11042266,0.02295608,0.025,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Roussel,98.04205,0.9122144018816416,0.056793192308810345,0.49891093,0.41330327,0.05142194,0.00537126,0.03099241,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Melenchon,942.3053,0.9119388376569675,0.06847751997149969,0.47060193999999994,0.44133637000000003,0.06110365,0.00737388,0.01958371,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Hidalgo,75.31895,0.9647606611616333,0.02852453466225963,0.5597608000000001,0.40499989999999997,0.028524529999999996,0,0.00671477,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Jadot,198.8808,0.952210570351688,0.03895983926050177,0.5449999,0.4072107200000001,0.02786199,0.011097850000000001,0.00882954,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Macron,1195.294,0.955,0.03468827752837377,0.53610007,0.41793417,0.03186039,0.00282789,0.01127892,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Pecresse,205.1207,0.9645906044587406,0.03074446411308074,0.47074976,0.49350578000000006,0.02725976,0.0034847000000000003,0.005,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Dupont-Aignan,88.56025,0.945,0.0349999,0.36767071,0.5768132300000001,0.0349999,0,0.02051616,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Zemmour,303.4525,0.9113719610153155,0.08001512592580387,0.35935838,0.55201358,0.07240827,0.00760686,0.0086131,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Le Pen,993.0248,0.8574269242822535,0.12135759348608413,0.30767308,0.5501474500000001,0.09499990000000001,0.025964259999999996,0.02121531,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Lassalle,134.5409,0.9218772878730557,0.07429317032961724,0.3217956,0.5989112299999999,0.07064277,0.0036504,0.005,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Blank/Null/NA,96.61228,0.7949999,0.135,0.3149999,0.4849999,0.08703874000000013,0.04712867999999999,0.06583278,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Blank,63.86856,0.865,0.10247696206083243,0.3657995399999999,0.49672357999999994,0.07863151,0.02384547,0.0349999,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
1st round vote,Null,19.09123,0.5949998999999999,0.315,0.17322965,0.42354458,0.15592636,0.15872387,0.08857579999999998,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
2nd round vote,Macron,2287.563,0.955,0.03449871763094612,0.5175194200000001,0.435,0.03200097,0.00249774,0.01298187,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
2nd round vote,Le Pen,1619.66,0.8670325870861786,0.1149999,0.31822296,0.5488079,0.09326112,0.02200979,0.01769711,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
2nd round vote,Blank/Null/NA,370.4173,0.8860309710156625,0.07499990000000001,0.39715289,0.48887835,0.06250699,0.01431053,0.03715148,"q55_i4. Je vais vous décrire différents types de systèmes politiques et vous demander ce que vous en pensez pour gouverner ce pays. Pour chacun, veuillez me dire si cette façon
de gouverner le pays serait très bonne, assez bonne, assez mauvaise ou très mauvaise.
- Avoir un système politique démocratique"
