Indicator,Category,BASE,ST Oui,ST Non,"Oui, tout à fait","Oui, plutôt","Non, plutôt pas","Non, pas du tout",No rep.,Question
Loss of job risk,Low risk,1874.312,0.5169001745707225,0.4733942908117752,0.12974297,0.38715737,0.28434914,0.18904505000000002,0.00970578,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
Loss of job risk,Zero risk,3478.817,0.3854364860238409,0.59989904614126,0.12058861,0.265,0.3300936399999999,0.26965238,0.01466537,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Arthaud,24.07418,0.5882800577215922,0.41171990074012904,0.2114148,0.37686521,0.29373619,0.11798366999999998,0,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Poutou,32.85668,0.4710816795853994,0.49553211097408506,0.16900189,0.3020797,0.31742038,0.17811164,0.03338654,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Roussel,98.04205,0.6538567890002299,0.33008744717190225,0.32967059,0.324186,0.27062725,0.05946012,0.01605571,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Melenchon,942.3053,0.6891785496696241,0.2999095940561939,0.26649813,0.42268063,0.20919122,0.09071825,0.010911539999999999,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Hidalgo,75.31895,0.5757715687751886,0.40144983433783926,0.18776882,0.38800275,0.29237025,0.1090796,0.0227788,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Jadot,198.8808,0.555,0.4349999,0.15762864,0.39593749000000006,0.3018768,0.1349999,0.00955717,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Macron,1195.294,0.3349999,0.655,0.08331069,0.25336377,0.38669306,0.26567623,0.01095744,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Pecresse,205.1207,0.3273399027986936,0.6695433469172053,0.03284515,0.295,0.41094926000000004,0.25808902,0.0031165699999999995,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Dupont-Aignan,88.56025,0.5787671105264496,0.41378225558306353,0.18634263,0.39278207999999987,0.28842477,0.12499990000000001,0.00745062,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Zemmour,303.4525,0.5049765614058214,0.49502343859417874,0.18209054,0.32288609,0.29560488,0.19941879,0,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Le Pen,993.0248,0.49199415764842935,0.4986751589688394,0.15688873,0.33499989999999996,0.28749543000000005,0.21128546,0.00933048,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Lassalle,134.5409,0.42891841811672143,0.571081061595396,0.10260962,0.3263088,0.36049179,0.21058942,0,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Blank/Null/NA,96.61228,0.3911099085954705,0.5857258518275317,0.08050579,0.30935039,0.315,0.27197971,0.02316411,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Blank,63.86856,0.4084998941576262,0.5764311893050351,0.09324215,0.31525777,0.3401430400000001,0.23635714,0.0149999,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
1st round vote,Null,19.09123,0.3513558843510869,0.6406873732074885,0,0.35135588,0.31657672,0.32411034,0.00795733,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
2nd round vote,Macron,2287.563,0.4219155057150339,0.5692922992721948,0.11417565,0.30774011,0.34697728999999994,0.22231563,0.00879383,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
2nd round vote,Le Pen,1619.66,0.5149999,0.4769786251435486,0.18021319,0.33499407,0.27998419,0.19699486,0.00781308,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
2nd round vote,Blank/Null/NA,370.4173,0.5607203011306438,0.42092688435448344,0.18590101,0.3749999,0.29574622,0.12499990000000001,0.01835297,"q37. En ce moment, seriez-vous prêt(e) à participer à une manifestation pour défendre vos idées ?"
