Indicator,Category,BASE,ST Souvent + De temps en temps,Souvent,De temps et temps,Jamais,No rep.,Question
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.7988900783189824,0.17923944,0.61964997,0.19311345999999996,0.0079967,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Socio-Professional Category,Prof Intermed,896.9079,0.7614392737537489,0.1102099,0.65122896,0.22891168999999997,0.00964832,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Socio-Professional Category,Total-CSP-,1674.09,0.7249998999999999,0.11233745,0.6124914699999999,0.27017108,0.005,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Socio-Professional Category,Salaried,956.6466,0.725,0.115,0.6083822099999999,0.27352859,0.0030892,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Socio-Professional Category,Blue collar,717.4432,0.7281377814996365,0.10921839,0.61961314,0.2649999,0.00616857,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,Far left,187.3446,0.8802431455190062,0.28277031,0.59747279,0.11975733,0,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,Radical left,828.7407,0.875,0.2358278,0.63826526,0.12208342,0.00382412,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,Left,1430.296,0.8274972453254431,0.18060653,0.64689085,0.16378197,0.00872132,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,PC/LFI,641.3963,0.8722961139626155,0.2221165,0.6501206500000001,0.12276284999999999,0.005,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,PS,449.3176,0.7949999,0.15092823,0.64424363,0.18764963,0.01717882,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,EELV,339.583,0.7849999,0.14147175,0.64385109,0.20967716,0.005,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,EM,672.9198,0.775,0.12994403,0.645,0.22301577000000006,0.0020402,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,MoDem,161.1257,0.9072823267796509,0.22767423,0.67960791,0.09271735999999998,0,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,Right,573.0042,0.785,0.12520418,0.6573203100000001,0.21398779,0.00348791,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,UDI/PR,89.32552,0.7677379320042023,0.07993258,0.68780534,0.23226207,0,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,LR,397.5368,0.7969873480895353,0.12582719,0.6711874900000001,0.19798541999999997,0.0049999,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,Radical right,1008.8,0.7663613203806504,0.14168686,0.625,0.22998457000000014,0.0033285699999999994,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,Debout la France,86.14185,0.7311128098595514,0.16927382,0.56183899,0.26888719,0,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,Reconquete,205.4045,0.8493367964187737,0.23241813,0.61691881,0.13871994,0.01194325,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,RN,717.2537,0.7468325363814785,0.11239043000000001,0.635,0.2513482900000001,0.0012612799999999998,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Political similarity,No preference,1860.95,0.6249998999999999,0.0449999,0.5800881000000001,0.3662798,0.0086322,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Total-left,1649.278,0.8471470546505805,0.20070249,0.64693613,0.14499990000000001,0.00736148,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Very Left,217.9165,0.9245968065749954,0.36223205,0.5606957100000001,0.07207224,0.005,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Left,1431.362,0.8349998999999999,0.1749999,0.66035538,0.15666966,0.00797506,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Center,776.1196,0.8176909847399808,0.12820393,0.6894869,0.18140025999999998,0.00090853,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Total-right,1622.94,0.7915868732054173,0.14089942,0.6502577400000001,0.20384284000000003,0.005,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Right,1193.119,0.796945987784957,0.12823985,0.66870622,0.19821183,0.00484102,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Very Right,429.8207,0.7767106144492343,0.17604061,0.60066977,0.21947389,0.00381521,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Both left and Right,200.4265,0.7877326601023317,0.09348704,0.695,0.21151296000000006,0,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Politics,Neither left nor right,1673.316,0.5664179987521782,0.04056234,0.52585579,0.42076745,0.01281522,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Loss of job risk,High risk,556.2398,0.7721024277658666,0.20612261,0.5649999,0.22223661999999997,0.00664087,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Loss of job risk,Low risk,1874.312,0.7549999,0.11365594,0.64294365,0.23590080000000002,0.00750019,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
Loss of job risk,Zero risk,3478.817,0.7392219826452497,0.12063946,0.61858298,0.25392681,0.00685182,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Arthaud,24.07418,0.741685490429996,0.12460614999999998,0.61707938,0.22902446,0.02928994,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Poutou,32.85668,0.8049999,0.22435243,0.58064757,0.195,0,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Roussel,98.04205,0.8272872711249918,0.18884132,0.63844565,0.16089963,0.01181302,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Melenchon,942.3053,0.8575591159255923,0.19045929,0.6670994,0.13412108,0.00831949,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Hidalgo,75.31895,0.8569942889538423,0.20199428999999997,0.655,0.14300571,0,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Jadot,198.8808,0.8064307866822741,0.18015223,0.62627916,0.19122117,0.00234774,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Macron,1195.294,0.7690653512859597,0.13601583,0.63304986,0.22951968,0.00141541,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Pecresse,205.1207,0.7943620512215491,0.12377658999999999,0.6700908600000001,0.20113255,0.005,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Dupont-Aignan,88.56025,0.7920624659483234,0.14122115,0.65084121,0.20793752999999998,0,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Zemmour,303.4525,0.8594969558662394,0.20062036,0.65887643,0.13285236,0.00765095,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Le Pen,993.0248,0.7249998999999999,0.1243981,0.6033895400000001,0.26721236,0.005,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Lassalle,134.5409,0.6997310111646347,0.0652057,0.63452534,0.29117131,0.00909725,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Blank/Null/NA,96.61228,0.6201673327655656,0.07919807,0.54096922,0.355478,0.02435444,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Blank,63.86856,0.685,0.085,0.59770756,0.31432116,0.00297128,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
1st round vote,Null,19.09123,0.49143879152888525,0.08802963,0.40340905,0.46140023,0.04716137,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
2nd round vote,Macron,2287.563,0.78797480113116,0.15204985,0.63592609,0.20789307,0.00413339,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
2nd round vote,Le Pen,1619.66,0.7485793314646283,0.13661985,0.61195924,0.24677031,0.00464991,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
2nd round vote,Blank/Null/NA,370.4173,0.7936098017020262,0.14124392,0.65236559,0.19500940999999997,0.011381470000000001,"ce1b. Quand vous êtes entre amis, vous arrive t-il souvent, de temps en temps ou jamais de discuter politique ?"
