Indicator,Category,BASE,...s'ouvrir davantage,...se fermer davantage,Rien ne doit changer,No rep.,Question
Socio-Professional Category,Prof Intermed,896.9079,0.1631056,0.55801415,0.26046565,0.01841372,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Socio-Professional Category,Total-CSP-,1674.09,0.13020286,0.61291791,0.21187923000000003,0.045,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Socio-Professional Category,Salaried,956.6466,0.12203587,0.60868277,0.21932875,0.04995204,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Socio-Professional Category,Blue collar,717.4432,0.14109284,0.62041009,0.20194588,0.03655166,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,Far left,187.3446,0.35112882999999995,0.28396303,0.33921169999999995,0.02569687,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,Radical left,828.7407,0.31201883,0.3478472799999999,0.31553802,0.024596580000000003,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,Left,1430.296,0.28500000000000003,0.3613215200000001,0.33065743,0.02302105,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,PC/LFI,641.3963,0.30059512,0.36650695,0.30862308,0.02427519,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,PS,449.3176,0.24048134,0.36910352999999996,0.3749999,0.01541523,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,EELV,339.583,0.31235721,0.345,0.31192703000000005,0.030715760000000005,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,EM,672.9198,0.14499990000000001,0.4782702100000001,0.35665038,0.02007951,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,MoDem,161.1257,0.09067914,0.50408454,0.395,0.010236320000000002,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,Right,573.0042,0.06607091,0.7898862900000001,0.12499990000000001,0.0190429,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,UDI/PR,89.32552,0.03405745,0.67021832,0.2682145,0.02750999,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,LR,397.5368,0.07929857,0.78920216,0.11383374,0.01766582,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,Radical right,1008.8,0.04156409,0.91006305,0.03790052,0.010472739999999998,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,Debout la France,86.14185,0.03822299,0.9115019,0.03365714,0.01661797,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,Reconquete,205.4045,0.01233524,0.97226263,0.01040213,0.005,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,RN,717.2537,0.05033579,0.89170108,0.04628502,0.01167862,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Political similarity,No preference,1860.95,0.08364405,0.61984632,0.21899637,0.07751374,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Total-left,1649.278,0.28008347,0.35085031,0.33955185,0.02951467,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Very Left,217.9165,0.42037119000000006,0.2649999,0.29685288,0.01777603,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Left,1431.362,0.25891088,0.36373475,0.34605228999999993,0.0313018,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Center,776.1196,0.15116343,0.48230002,0.3488921,0.01764387,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Total-right,1622.94,0.061342650000000006,0.81882201,0.10702472,0.012810390000000001,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Right,1193.119,0.07341849,0.7819129499999999,0.12841988,0.0162479,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Very Right,429.8207,0.02782188,0.92127438,0.04763517,0.0032683499999999997,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Both left and Right,200.4265,0.07194762,0.56083772,0.355,0.01221466,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Politics,Neither left nor right,1673.316,0.08241426,0.655,0.18313475999999992,0.07945098,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Loss of job risk,High risk,556.2398,0.23392932,0.59659629,0.14254,0.026934170000000004,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Loss of job risk,Low risk,1874.312,0.15489086,0.59262439,0.21554896,0.03693589,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
Loss of job risk,Zero risk,3478.817,0.11823565000000001,0.58422705,0.25804867,0.03948963,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Arthaud,24.07418,0.15533601,0.5445876,0.21205217,0.08802427,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Poutou,32.85668,0.29769785,0.41057739,0.29172497,0,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Roussel,98.04205,0.20848167,0.42440907999999994,0.29210925,0.075,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Melenchon,942.3053,0.2820692,0.33683064,0.33798738,0.04311222,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Hidalgo,75.31895,0.26811606,0.29336933,0.40947172,0.02904326,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Jadot,198.8808,0.31087244,0.2779671,0.3794592,0.03170132,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Macron,1195.294,0.15299399,0.46054042000000006,0.35995002,0.02651691,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Pecresse,205.1207,0.04338452,0.7586621,0.17979911,0.01815409,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Dupont-Aignan,88.56025,0.00809073,0.8934900299999999,0.09841923,0,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Zemmour,303.4525,0.02895626,0.93647605,0.03207372,0.0024942,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Le Pen,993.0248,0.045,0.88132808,0.05959125999999999,0.01408066,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Lassalle,134.5409,0.04193837,0.75347274,0.18662778,0.01796058,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Blank/Null/NA,96.61228,0.10809392,0.5984312199999999,0.21499990000000002,0.07847496,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Blank,63.86856,0.11362692,0.63050174,0.205,0.05087134,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
1st round vote,Null,19.09123,0.06182635,0.60861506,0.23219264,0.09736617000000002,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
2nd round vote,Macron,2287.563,0.18894276999999998,0.43178767,0.34937901,0.02989236,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
2nd round vote,Le Pen,1619.66,0.05099587,0.865,0.06313833999999996,0.02086579,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
2nd round vote,Blank/Null/NA,370.4173,0.1255213,0.55759054,0.2649999,0.05188826,"new26v2_i2. Et plus précisément, estimez-vous que la France doit... ?
- Sur le plan migratoire"
