Indicator,Category,BASE,ST Oui,ST Non,Beaucoup,Assez,Peu,Pas du tout,No rep.,Question
Politics,Very Right,429.8207,0.7000419011927531,0.2917267595534603,0.25774631,0.44229559,0.21433668,0.07739015,0.00823083,q23. Est-ce que vous vous intéressez à la politique... ?
Politics,Both left and Right,200.4265,0.6778220444901247,0.3221780054034771,0.18969597000000002,0.48812642,0.28826213,0.03391589,0,q23. Est-ce que vous vous intéressez à la politique... ?
Politics,Neither left nor right,1673.316,0.3038846816739934,0.6911252865567532,0.05473096999999999,0.24915377999999996,0.36375424999999995,0.327361,0.005,q23. Est-ce que vous vous intéressez à la politique... ?
Loss of job risk,High risk,556.2398,0.5569892697358226,0.4400557097855997,0.2434779,0.315,0.27149721999999993,0.16707025000000003,0.00295463,q23. Est-ce que vous vous intéressez à la politique... ?
Loss of job risk,Low risk,1874.312,0.545,0.45362634395981033,0.13646405,0.40596491,0.30891564,0.14471075,0.00394488,q23. Est-ce que vous vous intéressez à la politique... ?
Loss of job risk,Zero risk,3478.817,0.6081279929355294,0.3849999,0.21320595,0.395,0.2643658600000001,0.12210168,0.00532651,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Arthaud,24.07418,0.3658034458494537,0.6341964710739889,0.049083829999999995,0.31671961,0.3398296,0.29436683,0,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Poutou,32.85668,0.5929926578096144,0.40700734219038565,0.17059213,0.4213144100000001,0.265,0.14309346,0,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Roussel,98.04205,0.745,0.2511691666993907,0.30849049,0.43607564,0.18953265,0.06163649,0.00426449,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Melenchon,942.3053,0.7024474976422185,0.29105959607783166,0.22967132,0.47277607,0.23748544999999996,0.0535741,0.00649258,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Hidalgo,75.31895,0.7549999,0.245,0.2946301,0.46175388,0.19861602,0.045,0,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Jadot,198.8808,0.6067820523650348,0.3788056966786135,0.18993467,0.41684738,0.34195483,0.03685085,0.01441232,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Macron,1195.294,0.701534434206145,0.29100480718551247,0.25255167,0.4489836,0.2472426,0.04376192,0.00746131,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Pecresse,205.1207,0.7049998999999999,0.295,0.24334502000000002,0.46287479,0.23578786,0.05540665,0.00258523,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Dupont-Aignan,88.56025,0.6287376108355611,0.3712623891644389,0.13672782,0.4920099,0.27340099,0.09786138,0,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Zemmour,303.4525,0.7591082624133926,0.23648907160099192,0.28388967,0.47521902,0.20682769,0.02966137,0.00440245,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Le Pen,993.0248,0.6089124863749626,0.3867511667382325,0.17662065999999998,0.43209092000000004,0.28195237,0.105,0.00433605,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Lassalle,134.5409,0.4263646222078194,0.5685346983705327,0.08707902,0.33928567000000004,0.43089060999999995,0.1377448,0.0049999,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Blank/Null/NA,96.61228,0.43860376755418673,0.5456502009889426,0.0984118,0.34093820000000014,0.31888586,0.22676424,0.0149999,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Blank,63.86856,0.475,0.5149999,0.125,0.3483905200000001,0.32265187,0.19308405,0.01087356,q23. Est-ce que vous vous intéressez à la politique... ?
1st round vote,Null,19.09123,0.370835561668892,0.6291648049916114,0.054999900000000004,0.31582103,0.25571244,0.3734666300000001,0,q23. Est-ce que vous vous intéressez à la politique... ?
2nd round vote,Macron,2287.563,0.6719014951719362,0.32194134106907657,0.23169198,0.44020995,0.26290611,0.05903536,0.00615886,q23. Est-ce que vous vous intéressez à la politique... ?
2nd round vote,Le Pen,1619.66,0.6298809626711779,0.3657452181322005,0.18445093,0.4450351899999999,0.265,0.1011411,0.00437278,q23. Est-ce que vous vous intéressez à la politique... ?
2nd round vote,Blank/Null/NA,370.4173,0.6149998999999999,0.37504457810150876,0.1849999,0.4326124800000001,0.27794436,0.09710032,0.00734294,q23. Est-ce que vous vous intéressez à la politique... ?
