Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,Moyenne,Question
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.285,0.4645954082275152,0.1815334372101043,0.015,0.01681213,0.03119767,0.05594012,0.05201124,0.10990752,0.14315986,0.19149022999999987,0.12911262,0.06222674000000001,0.11930673000000001,0.07383514,6.473835,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Socio-Professional Category,Prof Intermed,896.9079,0.22190271710172246,0.505,0.19355632835879805,0.00859963,0.00931044,0.03274431,0.04098315,0.030256950000000005,0.10000823,0.16933671000000022,0.16746825,0.165,0.07270823,0.12084797,0.08273613,6.744503,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Socio-Professional Category,Total-CSP-,1674.09,0.18512911492213682,0.4308239700374532,0.2546625928116171,0.00680202,0.00684556,0.01366111,0.02875522,0.02962179,0.09944333999999999,0.10738718000000001,0.17146886,0.15196799,0.09260763,0.16205497,0.12938408,7.179408,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Socio-Professional Category,Salaried,956.6466,0.15877294708411654,0.43276754446208243,0.265,0.0043448,0.00484064,0.01527031,0.02036845,0.035,0.07903644,0.11373469,0.17308382000000014,0.14586191,0.09833846,0.16661733,0.14350315,7.290209,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Socio-Professional Category,Blue collar,717.4432,0.22027248986400594,0.42823250676848007,0.24093754042131837,0.010078500000000002,0.00951895,0.01151539,0.03993821,0.02256722,0.12665424,0.09892322,0.16919918,0.1601101,0.08496617,0.15597137,0.11055763,7.037136,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,Far left,187.3446,0.1707884294503284,0.525,0.2349999,0.0,0.0,0.02995639,0.00609419,0.00966171,0.12499990000000001,0.13579863,0.22019489,0.16544971,0.08260259,0.1537091,0.07153289,7.218303,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,Radical left,828.7407,0.13514504597155663,0.5185223797986511,0.270969194586437,0.0017279600000000002,0.00997976,0.01653996,0.01935817,0.01707359,0.07046555,0.12788705,0.21817893,0.17281992,0.10032428,0.17064493,0.07499990000000001,7.36042,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,Left,1430.296,0.18775568134148454,0.5043342776600088,0.2298489263760788,0.006500390000000001,0.015,0.023594680000000003,0.02769537,0.04244923,0.0731422,0.12990584,0.2017264699999999,0.17207487000000002,0.09003556,0.13981337,0.07806202,7.008187,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,PC/LFI,641.3963,0.1149999,0.5176913243808859,0.285,0.00223267,0.01289474,0.01262117,0.02323242,0.01923851,0.054514379999999994,0.12557617,0.21714251,0.17497263000000002,0.10550059,0.1755916,0.0764829,7.402153,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,PS,449.3176,0.2422210926079904,0.5045762729970961,0.1786931560214868,0.015,0.02432231,0.02347389,0.02663207,0.0643219,0.08853975,0.14320187,0.19834033999999978,0.16247474,0.07547307,0.10322006,0.075,6.606138,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,EELV,339.583,0.2347237935939078,0.4787836846956414,0.2007479172985691,0.00340605,0.00400422,0.04448097,0.03753168,0.05734834,0.08795255,0.12049060000000002,0.17898967,0.17930332000000002,0.08009361000000001,0.12065427,0.08574434,6.795039,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,EM,672.9198,0.42338462919355324,0.38578980734405494,0.09710619304113209,0.04143972,0.02832607,0.062369930000000004,0.08754031,0.07035497,0.13335383,0.13963998,0.15115049999999985,0.095,0.03816528,0.05894092,0.09371848999999999,5.463752,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,MoDem,161.1257,0.4303016837165021,0.34706499335611884,0.14325225584745327,0.00916885,0.0063894,0.035,0.08220811,0.10267294,0.19486251000000018,0.13606054,0.1109728,0.10003171,0.08395680999999999,0.05929551,0.07938082,5.92006,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,Right,573.0042,0.3251700423836335,0.4449999,0.1726895195532598,0.0286293,0.00956859,0.06612513,0.07115159,0.05702292,0.09267257,0.14399233,0.16091434,0.14134926,0.06895358,0.10373587,0.055884739999999995,6.170662,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,UDI/PR,89.32552,0.465,0.41163835374258106,0.07499990000000001,0.0,0.00911409,0.10691114000000002,0.10692844999999998,0.0971098,0.13914758,0.1579637,0.13925214,0.11442240000000001,0.04369366,0.03303339,0.05242372,5.4765,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,LR,397.5368,0.3409307012583489,0.46261880661111116,0.13751277869118028,0.04126589,0.01174413,0.06931851,0.07347853,0.05889389,0.08622963,0.16074297999999998,0.16961803,0.13225767,0.06671453,0.07079823,0.058938319999999995,5.903754,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,Radical right,1008.8,0.11078856066613799,0.4123880848532911,0.4177786478984933,0.00294415,0.00805852,0.00474944,0.01821367,0.00732208,0.06950067,0.08061130999999999,0.15197294,0.17980373,0.11855769,0.29922105,0.05904506,7.964383,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,Debout la France,86.14185,0.11344180557998232,0.4049999,0.435,0.0,0.0,0.00909453,0.02331387,0.00682013,0.07421328,0.05220182,0.14321053,0.21122822,0.10548016,0.32905573999999993,0.04538168,8.099433,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,Reconquete,205.4045,0.09328106248889387,0.3958392829757868,0.4709850076312836,0.00578666,0.01264514,0.00998942,0.00270623,0.00299997,0.05915367,0.07674384,0.15431152,0.165,0.13882339,0.3319453099999998,0.03989485,8.101665,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,RN,717.2537,0.1149999,0.41781729393658057,0.40052926879289713,0.00248371,0.00771285,0.00272699,0.0220421,0.00862011,0.07189782,0.08513081,0.15235558,0.18033117,0.11432461999999999,0.28620459,0.0661702,7.907382,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Political similarity,No preference,1860.95,0.1860055348074908,0.42076482441763613,0.1949999,0.01049913,0.0116348,0.013426850000000002,0.01680865,0.01804648,0.11558946,0.12317654999999998,0.149311,0.14827739,0.08313281,0.11437889000000001,0.19571885,6.964581,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Total-left,1649.278,0.18423322205231624,0.49651653632680487,0.24114266970153,0.00941901,0.01175487,0.0249999,0.0249999,0.03565328,0.07700479,0.12746226,0.1925063600000002,0.17720117999999999,0.08589055,0.1549999,0.078108,7.068381,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Very Left,217.9165,0.105,0.4149999,0.37958341841944043,0.00657146,0.00806109,0.00911479,0.006327069999999999,0.0112275,0.06318503,0.05408191,0.21403932,0.15292743,0.10767753,0.27178686999999996,0.095,7.888962,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Left,1431.362,0.19637408286652852,0.5080058713309421,0.22006585336204257,0.00985253,0.01231722,0.02764822,0.028075479999999996,0.03937195,0.07910871,0.13863397,0.18902958000000003,0.18089666,0.08257358999999999,0.13749219,0.07499990000000001,6.946064,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Center,776.1196,0.36836152572361275,0.4530844215247238,0.12054634363054353,0.0248313,0.01984214,0.05576809,0.05623211,0.0649999,0.14614062,0.17229797000000002,0.17174389,0.10959029,0.07069597,0.04985042,0.0580073,5.878143,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Total-right,1622.94,0.21831651200906993,0.44062879712127373,0.2804921315637054,0.01534728,0.01189335,0.022789360000000005,0.04198924,0.03748405,0.08881325999999999,0.11619955,0.16398467999999997,0.16044475,0.09602746,0.18446474,0.06056132999999999,7.04143,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Right,1193.119,0.2649999,0.4493345592518433,0.2168914416751389,0.020876129999999996,0.0149999,0.02754145,0.05404739,0.04622778,0.10124983,0.1280682,0.1649999,0.15673960999999997,0.08838448,0.12850705,0.06835828,6.631101,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Very Right,429.8207,0.0875789369846543,0.4149999,0.45703871404983526,0.0,0.00195907,0.00959829,0.0085176,0.0132128,0.055,0.08325388,0.16082127,0.17238837,0.11724349,0.3390869599999999,0.03891827,8.145554,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Both left and Right,200.4265,0.20980244628330086,0.415,0.2249999,0.0,0.01156465,0.03970244,0.04143821,0.02221989,0.095,0.155,0.1334124,0.125,0.10322441999999998,0.12350393000000001,0.1499340600000002,6.831272,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Politics,Neither left nor right,1673.316,0.195981213351214,0.38387214369551237,0.20862658338293544,0.01083942,0.01165745,0.01808149,0.0261923,0.01617767,0.11303280000000002,0.10027986,0.14930509,0.13428707,0.07367831,0.135,0.21146854000000004,6.962729,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Loss of job risk,High risk,556.2398,0.1549999,0.365,0.375,0.020901,0.00311857,0.02382293,0.0220806,0.02129644,0.07237896,0.06629089,0.17783616,0.11899954,0.11624952,0.25578968,0.10123552999999999,7.52458,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Loss of job risk,Low risk,1874.312,0.20477167088510345,0.4796167873865184,0.2056140599857441,0.006886219999999999,0.00845827,0.02116588,0.03293602,0.03906936,0.09499990000000001,0.14089474,0.18316836999999997,0.15680943,0.08694097,0.11867309,0.10999775,6.887157,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
Loss of job risk,Zero risk,3478.817,0.2349999,0.4316674317735023,0.215,0.0149999,0.01676589,0.03079211,0.03780294,0.03375147,0.10428582,0.12357738,0.15713164999999987,0.1513733,0.07704797,0.13626724,0.11620432999999998,6.736579,"newv13b_i1. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que les citoyens aient le dernier mot sur les enjeux politiques les plus importants en votant directement par référendum sur ces questions ?"
