Indicator,Category,BASE,ST Inquiet,ST pas Inquiet,Très inquiet,Plutôt inquiet,Plutôt pas inquiet,Pas du tout inquiet,No rep.,Question
Socio-Professional Category,Blue collar,717.4432,0.8528698857275391,0.10896639622481612,0.27354667,0.57932349,0.08210286,0.02686353,0.03816401,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,Far left,187.3446,0.8983429466341704,0.0949999,0.24649816,0.6516637399999999,0.05472354,0.04211456,0.005,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,Radical left,828.7407,0.8549998999999999,0.135,0.23433663,0.62044591,0.085,0.04579136999999999,0.01442609,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,Left,1430.296,0.875964835250885,0.11232863686957104,0.255,0.6209638000000001,0.0823073,0.03002139,0.01170751,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,PC/LFI,641.3963,0.8427064515339424,0.14006137858918113,0.23078431,0.61192246,0.09319604999999999,0.0468653,0.01723212,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,PS,449.3176,0.9014133877684737,0.09231612560914594,0.26193899,0.63947484,0.08844065,0.0038754899999999997,0.00627031,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,EELV,339.583,0.9051059682021774,0.0849999,0.28596128,0.61914436,0.05362527,0.03280176,0.0084669,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,EM,672.9198,0.895,0.1019540515823728,0.22592811,0.66711793,0.09112798,0.01082608,0.0049999,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,MoDem,161.1257,0.8869485128691451,0.11305136300416382,0.22185821,0.66509005,0.10930614999999999,0.00374525,0,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,Right,573.0042,0.9282464247207961,0.06857532632396063,0.32694054,0.6007157099999999,0.055,0.01416555,0.0031782,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,UDI/PR,89.32552,0.884742792429308,0.10990432521411575,0.27983089,0.60491212,0.10990433,0,0.00535286,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,LR,397.5368,0.9407425928869981,0.055879531152839175,0.33368282,0.60662601,0.045,0.01131293,0.00337824,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,Radical right,1008.8,0.8512288858049167,0.13694032513877874,0.34490563,0.50632355,0.10558069,0.03135963,0.01183107,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,Debout la France,86.14185,0.9156911536030395,0.084308788353164,0.345,0.57069121,0.04228956,0.04201923,0,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,Reconquete,205.4045,0.8530572601866073,0.14037418849148875,0.34499989999999997,0.5080575000000002,0.11687753,0.02349665,0.00656842,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,RN,717.2537,0.8429639331243604,0.14227796942699633,0.34473032,0.49799171000000003,0.10994679,0.03233118,0.015,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Political similarity,No preference,1860.95,0.8701039791504339,0.102888793358231,0.29975432,0.57035009,0.08231575,0.020573029999999996,0.027007150000000004,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Total-left,1649.278,0.8913130472849331,0.09854202869376782,0.25418601,0.63712606,0.07903798,0.01950406,0.01014532,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Very Left,217.9165,0.8449998999999999,0.14918002996560606,0.24125745,0.60429293,0.11227498,0.036905,0.00527021,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Left,1431.362,0.8982794010180513,0.09083271736988965,0.25615421,0.6421251200000001,0.07397786,0.01685486,0.01088753,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Center,776.1196,0.8960055898601196,0.10149473096672214,0.277713,0.61829246,0.08338569,0.01810905,0.0024994,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Total-right,1622.94,0.8812389860376847,0.10949006124687295,0.32331855,0.55791939,0.08436078999999999,0.02512923,0.0092709,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Right,1193.119,0.8849999,0.10637396605032692,0.31121602,0.5749999,0.0892408,0.01713309,0.00741019,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Very Right,429.8207,0.8674240212255947,0.11814002908654701,0.36242399,0.505,0.07081469,0.04732534,0.01443598,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Both left and Right,200.4265,0.875,0.11024235817119993,0.27730699,0.59745075,0.08688706,0.0233553,0.0149999,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Politics,Neither left nor right,1673.316,0.847647425829909,0.11915041749436447,0.28507753,0.56257019,0.09177805999999998,0.02737237,0.03320251,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Loss of job risk,High risk,556.2398,0.8651374820715815,0.1283539761088653,0.44881175999999995,0.41783436,0.080049,0.04830498,0.0049999,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Loss of job risk,Low risk,1874.312,0.868499481409712,0.11233391239025307,0.25971551,0.6094872300000002,0.08663039999999998,0.0249999,0.01916696,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
Loss of job risk,Zero risk,3478.817,0.885,0.10271026041323818,0.27587085,0.60711615,0.08445063,0.01825963,0.01430388,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Arthaud,24.07418,0.8171991735544056,0.13999068711789978,0.33759385,0.47960554000000005,0.07533831,0.06465234,0.04281006,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Poutou,32.85668,0.8073581993068077,0.1729782802157735,0.21720064,0.59015762,0.124338,0.04864028,0.01966371,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Roussel,98.04205,0.8749998999999999,0.09974972983531046,0.25264037,0.6226098999999999,0.09574872,0.00400101,0.025,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Melenchon,942.3053,0.8392772491038732,0.14260240285181458,0.25953871,0.57973812,0.11347161,0.02913076,0.01812034,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Hidalgo,75.31895,0.8983617004751128,0.10163839246298574,0.27256872,0.62579311,0.09021076000000001,0.01142764,0,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Jadot,198.8808,0.9063594876931308,0.08014966753955133,0.225,0.6813591699999999,0.08014967,0,0.01349116,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Macron,1195.294,0.9131661331856429,0.07702121821074982,0.25816687,0.6549999,0.07039449,0.00662673,0.00981201,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Pecresse,205.1207,0.898096096590934,0.09068767803542012,0.26036782,0.63772793,0.08575834,0.00492934,0.01121621,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Dupont-Aignan,88.56025,0.8661348629887562,0.13386524992872084,0.265,0.60113476,0.12372865,0.01013659,0,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Zemmour,303.4525,0.8549034857185227,0.1374007464100642,0.32305498,0.53184864,0.11088538999999999,0.02651539,0.007695920000000001,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Le Pen,993.0248,0.8637921228150597,0.1264537401281418,0.3487920400000001,0.5149999,0.08950615,0.03694757,0.00975434,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Lassalle,134.5409,0.8947806949410924,0.09611315220873357,0.28978141000000013,0.6049999,0.08907231999999998,0.00704089,0.00910548,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Blank/Null/NA,96.61228,0.803278941351969,0.165,0.26464731,0.53863132,0.13649362,0.027714159999999998,0.03251334,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Blank,63.86856,0.8834899362064841,0.09238633217971408,0.32036342,0.56225024,0.08967013,0.00271621,0.025,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
1st round vote,Null,19.09123,0.6295136562704446,0.3642696148964734,0.1578288,0.4716847,0.24485845,0.11941115999999999,0.00621718,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
2nd round vote,Macron,2287.563,0.906508367201253,0.08252664516780521,0.265,0.64150741,0.07343579,0.00909086,0.01096594,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
2nd round vote,Le Pen,1619.66,0.8557870170282652,0.1349999,0.335,0.52078666,0.10314035,0.03246471,0.00860828,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
2nd round vote,Blank/Null/NA,370.4173,0.8771733933593274,0.10175969102954965,0.31027304,0.56690063,0.08485028,0.01690941,0.02106696,"q2v13b_i1. Face à la guerre en Ukraine, êtes-vous très, plutôt, plutôt pas ou pas du tout inquiet...
- Des conséquences économiques de la guerre"
