Indicator,Category,BASE,ST D'accord,ST Pas D'accord,Tout à fait d'accord,Plutôt d'accord,Pas vraiment d'accord,Pas du tout d'accord,No rep.,Question
Socio-Professional Category,Cadres/Prof Lib,155.6393,0.3609107725362425,0.6230263821541218,0.08824789,0.27266295,0.25297865,0.3700476,0.01606272,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Prof Intermed,229.278,0.30289478275281534,0.665,0.11218922,0.19070560999999997,0.2891165799999999,0.375,0.03298859,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Total-CSP-,447.8876,0.4141454239858393,0.5490326144327282,0.1205325,0.29361295,0.36541132,0.18362140000000002,0.03682145,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Salaried,229.7362,0.37417712141142756,0.5875417108840488,0.1048537,0.26920448999999996,0.355,0.23266011,0.0382817,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Socio-Professional Category,Blue collar,218.1512,0.4562367293876907,0.5084794399480728,0.13704399,0.31919279,0.3767844900000001,0.13197883,0.0349999,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,Far left,69.35199,0.6649999,0.29624485180598276,0.172528,0.49365894,0.10108696,0.19515777,0.03756824,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,Radical left,231.0439,0.4736506785074178,0.49778462015227404,0.13974712,0.33311310000000005,0.28357468,0.215,0.028565100000000003,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,Left,343.524,0.27212363619426877,0.7103567727436801,0.07330064,0.19882302,0.34630535,0.36405171,0.01751919,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,PC/LFI,161.692,0.395,0.5842279766469584,0.12568686,0.26538184,0.36184604000000004,0.22238169,0.024703520000000003,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,PS,98.28263,0.20229108643104077,0.7893674599468898,0.020683310000000003,0.18160778,0.31584737,0.47352019,0.00834139,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,EELV,83.5493,0.12407787976679636,0.8615106290537443,0.03381433,0.09026349,0.35205872,0.50886346,0.015,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,EM,157.8256,0.21769396092902546,0.7823065459595908,0.075,0.14371091,0.31241339,0.4688757000000001,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,MoDem,40.06138,0.11138033687306827,0.865,0.07093732,0.04044302,0.485,0.37965924999999995,0.023960410000000005,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,Right,147.8384,0.22100502981634,0.7789951731079341,0.08125817999999999,0.13974678,0.33380096,0.44519381,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,UDI/PR,17.12237,0.17753003818980667,0.8224696697945436,0.03933062,0.13819944,0.31942693,0.50304286,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,LR,104.1246,0.17214251003125103,0.8278570097748276,0.04993124,0.12221127,0.37198145,0.45587564999999997,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,Radical right,250.4902,0.5303077725196436,0.46969222748035655,0.23037328,0.29993445,0.31880537,0.15088702,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,Debout la France,26.59146,0.44033009093897063,0.5596699090610293,0.23092296999999998,0.20940704000000002,0.19355289,0.36611717,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,Reconquete,47.79417,0.6043281011052185,0.39567189889478155,0.26250921,0.33985586999999995,0.335,0.06263492,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,RN,176.1046,0.5238052271206999,0.4761947160948663,0.22156866,0.30109236000000006,0.335,0.14233898,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Political similarity,No preference,473.0251,0.3107122645288802,0.6400510247764865,0.07184676,0.23886555,0.31361296,0.32643785999999997,0.0492365,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Total-left,418.6148,0.2751849671822401,0.7042686976189088,0.085,0.1912301,0.2912778,0.4119461100000001,0.02054599,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Very Left,56.09708,0.4749999,0.48950694046820264,0.13395073,0.34150993,0.18970185,0.29980509,0.03503247,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Left,362.5176,0.24419393706677966,0.7375015723374534,0.07499990000000001,0.16797539999999997,0.30699613,0.4317242600000002,0.01830431,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Center,194.1014,0.21986724464635496,0.7768341701811527,0.05175779,0.16810945,0.37183441999999983,0.405,0.00329834,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Total-right,407.3621,0.385,0.6049998999999999,0.14618792,0.23638473,0.32427096,0.28464847,0.00850758,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Right,283.4199,0.26941333336156004,0.7183585203438433,0.09001605,0.17939728,0.36621246,0.35214606,0.01222802,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Very Right,123.9421,0.6413356720597763,0.35866424725738877,0.27463687,0.36669872,0.228363,0.13030125,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Both left and Right,50.70497,0.36866701627079157,0.6313329837292083,0.0475295,0.32113755,0.3669314900000001,0.2644015,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Politics,Neither left nor right,410.2587,0.38214375466016937,0.5680047735733575,0.11491715,0.26722675,0.31059207,0.2574127,0.04985107999999999,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Loss of job risk,High risk,158.5112,0.435,0.5524261377114046,0.21960669,0.215,0.3492688500000001,0.20237718,0.01374728,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Loss of job risk,Low risk,503.0857,0.4495579977725465,0.5316626968327663,0.10414526,0.34541272,0.29407256,0.23759014,0.01877905,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
Loss of job risk,Zero risk,811.3203,0.2349999,0.7397203052851012,0.0818071,0.15369984,0.33184933,0.4076437299999999,0.025,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Arthaud,3.738047,0.3605080406961175,0.4682225771907095,0.18863629,0.17187168,0.28103686,0.18718571,0.17126933000000003,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Poutou,9.146254,0.35146662229148673,0.6219537528697541,0.26899996,0.08246663,0.1709209,0.45103274,0.0265797,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Roussel,25.99691,0.235,0.6724045280766061,0.08602819,0.14847199,0.29769023,0.3747142299999999,0.09309526,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Melenchon,223.5458,0.3049999,0.6673294689499869,0.09428985,0.2109323,0.32161821,0.34571139,0.02744851,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Hidalgo,18.42366,0.3049999,0.695,0.0849999,0.22126559,0.25677238,0.43696212999999995,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Jadot,55.33029,0.14203997484921912,0.8361982198177527,0.05221073,0.08982922,0.26991979,0.56627825,0.021761809999999996,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Macron,300.2444,0.20056454008800834,0.7767152359877486,0.05141894000000001,0.14914563,0.31791354,0.4588019,0.02272025,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Pecresse,52.6386,0.10049666974425611,0.8995034062456069,0.0089471,0.09154957,0.39187307,0.50763052,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Dupont-Aignan,24.39966,0.665,0.3349999,0.39727787,0.26616039,0.12348332,0.21307842,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Zemmour,73.75994,0.6349999,0.365,0.26262264,0.37293428,0.18766799,0.17677509,0,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Le Pen,248.3878,0.5049999,0.4782726848903207,0.1949999,0.3100781300000001,0.30015947,0.17811325999999997,0.01664924,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Lassalle,26.74103,0.4849999,0.495,0.16494798,0.32197457999999995,0.28936327,0.20562592,0.01808816,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Blank/Null/NA,23.13231,0.31410935613434193,0.6184241867759857,0.0905635,0.22354585000000002,0.3534238900000001,0.265,0.06746676,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Blank,17.723,0.34883422671105346,0.618588275122722,0.08749269,0.26134153,0.35143678,0.26715144,0.03257764,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
1st round vote,Null,3.65668,0.05394535480271721,0.7317522999004562,0.05394535,0,0.4274697,0.30358495,0.215,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
2nd round vote,Macron,577.0304,0.2039731355575027,0.781682039629108,0.05107211,0.15290109,0.31900104,0.46202576000000006,0.015,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
2nd round vote,Le Pen,420.5469,0.545560554601639,0.4449999,0.22925286,0.31673685000000007,0.27205646,0.1749999,0.00695393,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
2nd round vote,Blank/Null/NA,87.59814,0.3002173333817362,0.6677518495255721,0.0903847,0.20983265,0.31711552,0.35063632999999994,0.03203055,"q5v13b_groupe4. Certains disent qu'on aurait mieux fait de ne pas se mêler de la guerre en Ukraine et de trouver un accord avec Vladimir Poutine pour préserver nos intérêts économiques.
Vous-même, êtes-vous d'accord ou pas avec cette opinion ?"
