Indicator,Category,BASE,Manifester dans la rue,Faire grève,Boycotter des entreprises ou des produits,Voter aux élections,Militer dans un parti politique,"Discuter sur internet, sur un blog ou un forum",Rien de tout cela,No rep.,Question
Political similarity,Far left,187.3446,0.22288836,0.14765854,0.15636949,0.12740826,0.10829696,0.08215161,0.05372318999999999,0.10150413000000001,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,Radical left,828.7407,0.22827454,0.20962142,0.13362093,0.18127647999999996,0.0693352,0.04819489,0.0518623,0.07781483,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,Left,1430.296,0.2283489599999999,0.205,0.15111991,0.17311983000000003,0.05199792,0.03281866,0.06863223,0.08896249,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,PC/LFI,641.3963,0.23182363000000014,0.22772005,0.12499990000000001,0.1970108,0.05795489999999999,0.03827651,0.051318760000000005,0.07089545,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,PS,449.3176,0.2196752800000002,0.17287102,0.14200312,0.16638115,0.055,0.031023670000000003,0.07898295,0.13406281,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,EELV,339.583,0.24417044,0.19692675999999998,0.20878433,0.13691112,0.03727165,0.02488496,0.08763787,0.06341251,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,EM,672.9198,0.135,0.13508403,0.18076032000000003,0.10473229,0.08178926,0.03457843,0.21092262999999997,0.11713304,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,MoDem,161.1257,0.18660918000000012,0.13054156,0.16018245,0.15579786,0.0726274,0.03224442,0.14499990000000001,0.11699723,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,Right,573.0042,0.14099331,0.14310209,0.21137773999999993,0.155,0.08061157,0.02509687,0.1404785,0.10333992,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,UDI/PR,89.32552,0.1603235,0.09963569,0.2368537199999998,0.13749744,0.04987307,0.00241959,0.2049999,0.10839708999999999,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,LR,397.5368,0.13701615,0.13107091,0.22289217,0.16298622,0.09318033,0.00739399,0.14837172,0.09708885,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,Radical right,1008.8,0.195,0.1809510299999999,0.16369895,0.14194607,0.04580647999999999,0.04191816,0.08724047,0.14343884,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,Debout la France,86.14185,0.13930314,0.24318032,0.13434817,0.13425913,0.055,0.13030948,0.03665577,0.12694399,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,Reconquete,205.4045,0.20113297999999996,0.16497798,0.16598614,0.14124544,0.05907762,0.03160099,0.09940459000000001,0.13657442,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,RN,717.2537,0.19896363,0.17895927,0.1665691,0.14306988,0.04096396000000001,0.034257,0.08983216,0.14738565,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Political similarity,No preference,1860.95,0.14173148,0.16851732,0.1349999,0.08770343000000001,0.01773311,0.029886820000000005,0.10736941,0.31205853000000017,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Total-left,1649.278,0.21851473000000007,0.20324584,0.14208005,0.16167966,0.05816567,0.03124927,0.07006478,0.115,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Very Left,217.9165,0.21657375,0.20759158,0.12450879,0.15411132,0.0770429,0.0719583,0.075,0.07321336,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Left,1431.362,0.21927695,0.20258418,0.14475514,0.16283183,0.05529171,0.02505155,0.06937482,0.12083358,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Center,776.1196,0.18085679,0.18480000000000002,0.20379694,0.12785989,0.05919683,0.03598222,0.12969715,0.07780967,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Total-right,1622.94,0.15352453,0.17066669,0.18441138,0.13772789,0.06677616,0.02607835,0.13081266,0.13000142,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Right,1193.119,0.15059881,0.15317165,0.18757458,0.13898354,0.07014219,0.02727792,0.1427467,0.12950376,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Very Right,429.8207,0.16164624,0.21923044000000003,0.17563095,0.13424256,0.05743267,0.022748490000000003,0.09768552,0.13138278,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Both left and Right,200.4265,0.195,0.18420410999999998,0.17293965999999997,0.15716629,0.010489629999999998,0.04949198,0.04694416,0.18376417,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Politics,Neither left nor right,1673.316,0.14867329,0.13710297,0.13037215,0.08327584,0.02276156,0.03810299,0.1245038,0.31520807,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Loss of job risk,High risk,556.2398,0.18910819,0.26400196,0.11776097,0.11899941,0.0379847,0.03981874,0.09494308,0.13738287,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Loss of job risk,Low risk,1874.312,0.185,0.17809916,0.14290038,0.13197664,0.04312705,0.05184458,0.08918051,0.17787168,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
Loss of job risk,Zero risk,3478.817,0.16858906,0.155,0.17335148999999997,0.12857957,0.05416093999999999,0.02176787,0.1218969,0.17665416999999997,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Arthaud,24.07418,0.14818926,0.16438554,0.22244832,0.14024864,0.06522461,0.10277982,0.02600732,0.13071631,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Poutou,32.85668,0.20548914000000001,0.22620018000000006,0.1949999,0.06094044999999999,0.06697101,0.08729342,0.03338654,0.12471936,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Roussel,98.04205,0.17397647,0.22980077999999998,0.12435124,0.22985113999999995,0.07597391,0.03642246,0.024624000000000004,0.105,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Melenchon,942.3053,0.2331116,0.20218139,0.16610338,0.17352529,0.040986079999999994,0.02707097,0.06950811,0.08751293,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Hidalgo,75.31895,0.19770204,0.13793966,0.11242258,0.18595971,0.11658685,0.02496323,0.10030443,0.12412162,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Jadot,198.8808,0.18760464,0.16771981,0.20135096000000002,0.18571652,0.04120937000000001,0.04151548,0.05084825,0.1240351,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Macron,1195.294,0.15061617,0.12507776,0.19402908,0.12534874,0.07522307,0.03032847,0.19449374,0.10488374,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Pecresse,205.1207,0.1466598,0.13010896,0.23761166,0.12041413,0.11650671999999998,0.00381648,0.15226274,0.09261908,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Dupont-Aignan,88.56025,0.2085378,0.22279216999999998,0.13789776,0.14448548,0.02669098,0.06958008,0.13047231,0.05954342,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Zemmour,303.4525,0.21163292000000003,0.17592209999999997,0.16300650000000003,0.15003963,0.054999900000000004,0.02617551,0.1001648,0.11805863999999999,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Le Pen,993.0248,0.17732538000000003,0.22395389999999998,0.15143126,0.13490499,0.04726891999999999,0.025745679999999996,0.09436986999999998,0.145,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Lassalle,134.5409,0.18102383999999996,0.15847166,0.27213500999999995,0.11287281,0.02053518,0.00240169,0.115,0.13755981,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Blank/Null/NA,96.61228,0.09340075,0.14499990000000001,0.12979882,0.09911718000000001,0.0271856,0.02635469,0.14148108,0.33766198000000003,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Blank,63.86856,0.11873402,0.16657459999999996,0.10046303000000001,0.09966576999999999,0.0178929,0.0143818,0.14345966,0.33882805999999993,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
1st round vote,Null,19.09123,0.0561232,0.14470676,0.18046070999999997,0.04532637,0.03021805,0.04220148,0.22810835,0.27285539,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
2nd round vote,Macron,2287.563,0.16330418999999988,0.14401601,0.1949999,0.14637796,0.07583424,0.02847664,0.14624559,0.10074547,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
2nd round vote,Le Pen,1619.66,0.19866453,0.19460553000000003,0.15977927,0.13820283,0.0429063,0.03098051,0.08982527,0.14503501,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
2nd round vote,Blank/Null/NA,370.4173,0.23222766,0.19254159999999998,0.15280563,0.145,0.03825699,0.029226599999999995,0.07439766,0.13554386,"q40n2. Selon vous, qu'est-ce qui permet aux citoyens d'exercer le plus d'influence sur les décisions prises en France ? En second ?"
